geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig
V; 5 t/m  9 jaar;LEUDAL;693;686.21;458252.78;31458.48;0;47597.36;15542.32;134.21;30192.83;21101.57;92151.06;15609.52;95006.26;0;2099.96;0;0;0;0;2360.9;0;0;0;36606.3;0;0;0;38035.88
V; 5 t/m  9 jaar;LEUSDEN;801;797.48;288389.05;18347.63;0;56308.36;14602.27;730.92;48471.82;14617.18;92302.53;11822.36;56175.36;0;2403.57;0;0;0;0;0;0;0;0;12820.5;0;0;678.97;39668.98
V; 5 t/m  9 jaar;LINGEWAARD;1161;1155.14;830665.63;44410.12;0;81056.5;24189.01;20669.98;51937.79;30646.24;169557.37;45411.5;190647.9;2560.04;2619.44;0;0;0;0;803.17;0;0;0;19827.32;158.16;0;268.13;46953.63
V; 5 t/m  9 jaar;LISSE;534;525.85;157883.7;17677.54;0;36896.99;8967.24;9125.77;33552.44;20425.11;83022.12;19983.53;25330.27;0;840.61;0;0;0;0;23.15;0;0;0;4800.36;0;0;0;8369.8
V; 5 t/m  9 jaar;LOCHEM;781;778.21;261627.17;31104;0;54456.86;12748.36;990.66;41968.49;9985.03;94726.88;20747.25;120745.28;466.44;1939.64;0;0;0;0;6134.24;0;0;0;9640;0;0;245.9;31674.64
V; 5 t/m  9 jaar;LOON OP ZAND;565;561.15;223075.5;22787.24;0;39453.22;14365.56;1289.41;27067.41;8094.52;83096.64;25321.46;42062.48;4197.59;4363.72;0;0;0;0;396.74;0;0;0;34426.18;0;0;0;27505.33
V; 5 t/m  9 jaar;LOPIK;359;356;95284.01;11135.83;0;24694.56;6501.78;4350.38;17474.96;13774.02;53031.22;6766.93;31743.66;0;0;0;0;0;0;0;0;0;0;0;0;0;245.51;4644.42
V; 5 t/m  9 jaar;LOSSER;542;537.14;165324.32;19314.24;0;37262.96;8388.9;4838.25;24867.47;10112.24;91098.99;24731.08;85239.77;0;2539.35;0;0;0;0;863.83;0;0;0;0;0;0;109.87;17246.99
V; 5 t/m  9 jaar;MAASDRIEL;629;627.22;165593.67;22765.38;0;44553.12;13960.53;4359.92;31285.24;6726.03;112173.43;32306.85;46675.8;805.92;0;0;0;0;0;433.36;0;0;0;808.84;0;0;75.95;13694.91
V; 5 t/m  9 jaar;MAASGOUW;450;447.52;253291.09;103305.65;0;30766.38;9860.08;24.99;22353.98;10283.38;69477.63;11178.69;48052.49;1233.76;2402.18;0;0;0;0;1523.62;0;0;0;23183.23;0;0;0;13315.73
V; 5 t/m  9 jaar;MAASHORST;1470;1459.08;476154.78;73042.47;0;102530.42;32454.05;1868.16;67916.1;21073.45;225206.21;29499;177368.81;3770.4;3296.74;0;0;0;0;1338.8;0;0;0;3443.22;0;0;110.9;26492.63
V; 5 t/m  9 jaar;MAASSLUIS;906;900.72;343023.45;45693.79;0;64038.01;772.72;2681.51;100612.94;28945.29;181577.16;73836.46;91242.19;1122.06;7089.67;0;0;0;0;175.44;0;0;0;5283.09;0;0;6486.47;56075.3
