GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_OVERIG
M;60 t/m 64 jaar;BLARICUM;484;481.25;754107.02;190471.25;76443.1;26724.61;16210.64;22757.33;36384.47;9167.25;17700.14;5646.25;4703.44;17603.78;0;0;1796.5;5644.58;6.88;14264.92
M;60 t/m 64 jaar;BLOEMENDAAL;814;809.28;1267650.69;300542.41;228494.74;44612.45;26643.38;31634.23;82305.12;8126.76;19810.78;216.95;4159.76;28259.33;0;0;1679.5;21137.13;13.76;17247.27
M;60 t/m 64 jaar;BODEGRAVEN-REEUWIJK;1098;1092.29;2060727.55;388285.12;61477.67;60601.86;34543.83;43158.13;193632.15;30550.43;36162.07;2912.8;19628.4;30136.7;0;0;468;55979.41;6.88;31821.65
M;60 t/m 64 jaar;BOEKEL;363;361.8;501288.31;104336.82;208389.96;19320.51;12406.14;8629.41;48524.52;16909.81;9010.42;2202.92;2488.35;9299.82;0;0;485;6196.73;0;9132.62
M;60 t/m 64 jaar;BORGER-ODOORN;1018;1011.31;1681193.74;421305.17;119800.89;56005.73;40227.74;46725.77;194275.66;33999.13;24187.51;1191.28;22701.93;41546.51;0;0;1472;2067.59;17.2;34122.16
M;60 t/m 64 jaar;BORNE;769;763.72;1735459.26;309412.82;41925.17;42594.53;26799.55;32954.37;104483.21;70984.26;17505.09;3482.78;12000.32;22775.77;0;0;938;40298.86;5.16;31627.55
M;60 t/m 64 jaar;BORSELE;764;760.31;1430640.34;283266.97;33896.55;42138.2;21423.87;20755.32;93213.98;27308.09;13577.18;800.12;28709.95;40238.81;0;0;0;38564.34;1.72;43871.61
M;60 t/m 64 jaar;BOXMEER;1146;1138.9;1997574.79;388546.59;51859.87;62740.77;44802.54;33879.49;112092.55;69806.88;41453.21;1566.03;11358.97;34255.88;0;0;3305.75;11356.99;4.73;42371.64
M;60 t/m 64 jaar;BOXTEL;1106;1099.81;1843365.65;415819.03;174765.89;61272.42;44172.92;28963.01;166795.92;104948.49;41796.18;2837.17;9341.98;24565.95;0;0;1672.6;6934.11;3.44;41118.6
M;60 t/m 64 jaar;BREDA;5263;5233.88;9344335.2;2535736.68;498432.86;290793.66;191419.45;140913.33;680766.78;300257.82;255579.27;14720.86;66697.59;106819.59;0;0;16633.86;111716.69;7.74;444806.41
M;60 t/m 64 jaar;BRIELLE;598;592.94;798576.86;255023.28;37510.44;32787.59;19138.25;16530.17;76981.19;38214.23;12572.17;821.72;4749.18;12023.71;0;0;858.5;4155.18;1.72;19477.08
M;60 t/m 64 jaar;BRONCKHORST;1426;1418.08;2132358.72;531296.91;92325.29;78682.16;46752.1;60177.43;133337.47;47953.33;25107.14;4770.96;32353.71;52327.94;0;0;1354;9985.75;8.6;44753.27
M;60 t/m 64 jaar;BRUMMEN;748;744.02;1364513.99;241384.52;122774.41;41001.95;24019.23;29464.44;59712.25;17166.16;12822.61;1126.77;8971.44;26657.52;0;0;770;941.03;8.6;25373.37
M;60 t/m 64 jaar;BRUNSSUM;1022;1015.01;2164847.43;499206.74;103655.15;56463.66;39850.67;31587.2;195610.07;42271.75;52914.47;2771.39;17662.35;31557.85;0;0;4762.3;29736.37;4.3;110523.85
M;60 t/m 64 jaar;BUNNIK;488;484.9;774821.18;154821.65;38364.75;26965.22;14500.78;19510.01;55688.4;15426.11;25021.01;3406.72;7306.86;16001.68;0;0;189;2106.59;3.44;12970.95
M;60 t/m 64 jaar;BUNSCHOTEN;566;563.23;1205337.55;212373.5;80320.8;31027.91;22345.52;25876.43;61522.26;16955.87;16504.51;957.45;5210.26;24158.69;0;0;3673;2483.14;5.16;24107.5
M;60 t/m 64 jaar;BUREN;963;957.99;2340528.91;350064.97;21398.97;53393.34;32519.75;38569.07;104805.75;55250.84;25158.52;2075.07;19615.9;61082.26;0;0;2379;2714.08;3.44;37904.98
M;60 t/m 64 jaar;CAPELLE AAN DEN IJSSEL;2216;2202.58;3889481.98;951703.2;312804.68;122087.1;89041.39;67161.55;234591.97;124603.15;47333.36;5760.01;7755.54;77219.02;0;0;5273.87;11348.12;8.6;20787.06
M;60 t/m 64 jaar;CASTRICUM;1210;1204.69;1975328.2;344594.37;70903.72;66413.38;48792.99;40281.09;86300.87;25569.75;29165.98;1936.7;2737.78;33777.65;0;0;4157.33;16804.01;15.91;36869
M;60 t/m 64 jaar;COEVORDEN;1314;1305.51;2742824.3;565677.59;58080.22;72448.25;50505.72;59801.34;171908.33;56951.3;43711.77;170.61;23839.28;60193.58;0;0;1501;22360.84;25.8;46335.95
M;60 t/m 64 jaar;CRANENDONCK;810;805.33;1791562.94;325079.31;46669.64;44592.42;24835.55;26482.49;127500.62;52549.21;34573.91;3175.5;7231.51;24437.74;0;0;737;58877.13;1.29;62527.82
M;60 t/m 64 jaar;CUIJK;858;853.18;1940886.81;344212.58;14947.38;47386.24;30490.59;27556.49;95297.89;33700.79;34102.91;1571.04;25827.63;51922.86;0;0;966;8447.45;5.16;25782.75
M;60 t/m 64 jaar;CULEMBORG;830;823.32;1973616.65;295300.85;112486.61;44860.39;24332.44;32743.95;85355.71;43231.11;17079.32;574.31;12728.64;34477.53;0;0;1621.9;7833.12;3.44;29971.57
M;60 t/m 64 jaar;DALFSEN;929;925.16;1482148.09;384166.46;51712.84;51716.94;29904.99;38295.76;143240.82;52210.05;18145.3;2663.02;10423.59;27018.5;0;0;1765;2031.84;6.88;34968.98
M;60 t/m 64 jaar;DANTUMADIEL;649;646.56;1294691.37;259207.83;55327.56;36000.69;24150.5;23836.32;88847.78;32866.91;25166.8;251.27;15176.13;26425.82;0;0;867.6;13243.08;691.87;18184.2
M;60 t/m 64 jaar;DE BILT;1423;1414.61;2283343.38;501498.07;193463.18;78216.76;45015.52;58817.54;122277.97;50102.08;38893.25;3382.76;35939.4;44652.21;0;0;4941.2;20500.35;7.74;43318.21
M;60 t/m 64 jaar;DE FRYSKE MARREN;1839;1832.29;3877757.28;727884.8;80442.22;101690.75;59822.36;74242.61;241403.47;86140.48;28081.08;3339.02;114473.29;95823.21;0;0;2514.5;10761.24;1622.39;63294.57
M;60 t/m 64 jaar;DE RONDE VENEN;1423;1415.04;2385149.77;540103.78;102778.74;78378.2;48279.94;56404.76;255826.43;36577.91;50598.27;3461.38;22325.01;47753.18;0;0;3809.9;10620.28;13.76;48991.17
M;60 t/m 64 jaar;DE WOLDEN;894;887.94;1447121.88;365283.57;27288.81;49355.85;33270.07;48787.2;93158.5;49453.02;26162.96;972.58;8408.5;26882.34;0;0;2085;2491.43;21.93;27038.42
M;60 t/m 64 jaar;DELFT;2798;2780.31;4514930.31;1474967.3;408206.85;154595.13;97866.13;88689.75;328283.55;108728.65;57548.66;4533.4;5449.59;65610.26;0;0;5609.2;20087.9;3.44;56554.03
M;60 t/m 64 jaar;DELFZIJL;934;929.99;1837023.36;509110.66;118437.13;51284.22;40275.68;41864.08;119090.12;39240.34;19378.75;3998.53;10755.28;46764.61;0;0;795;16437.87;15.48;47576.98
M;60 t/m 64 jaar;DEN HELDER;2028;2010.13;3965558.34;857984.61;186627.98;110723;79670.27;96095.02;197417.8;85037.19;63586.11;6296.6;73190.14;99893.15;0;0;6562.5;11038.51;49.02;55682.1
M;60 t/m 64 jaar;DEURNE;1170;1163.36;2243576.05;479626.43;41557.44;64052.8;41249.75;46073.41;175642;116398.85;48690.94;2842.58;21084.17;61821.56;0;0;621;5778.01;3.01;99450.68
M;60 t/m 64 jaar;DEVENTER;2767;2753;5278591.54;1237542.15;485316.1;153562.11;90372.05;109676.47;357210.93;85446.99;61848.88;11256.25;28309.85;96230.96;0;0;4563.9;40553.23;27.95;41354.99
M;60 t/m 64 jaar;DIEMEN;779;774.28;1365197.05;298983.88;70929.6;42960.38;22848.69;27576.74;87746.82;23066.76;7868.15;2858.99;1051.95;14524.02;0;0;1344;12982.1;8.6;47423.5
M;60 t/m 64 jaar;DINKELLAND;874;869.2;1546831.08;317560.74;68548.36;48140.62;26595.8;38298.52;105312.22;37494.96;29757.53;1364.89;10336.06;23352.91;0;0;1810.2;79491.03;0;33873.76
