geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig;kosten_consulten_ggz;kosten_intramuraal_verblijf_ggz;kosten_overige_prestaties_ggz
M;85 t/m 89 jaar;ZEEWOLDE;109;104.48;382898.64;104510.52;17913.72;17470.77;17408.25;10865.2;57639.76;2744.13;3938.53;6330.72;0;23948.04;0;0;0;0;6753.58;37190.71;185119.35;2910.09;0;0;2571.3;0;0;2114.81
M;85 t/m 89 jaar;ZEIST;530;501.17;1858217.59;443022.93;86446.53;84376.04;44497.97;82641.42;216880.4;9761.46;56599.1;22638.88;1472.65;101993.32;0;0;2857.47;0;271206.88;80882.43;506449.77;4774.5;0;1569.62;23135.36;19152.76;24872.16;2679.51
M;85 t/m 89 jaar;ZEVENAAR;345;326.95;1388064.85;292194.14;55448.64;48064.12;49430.27;73061.83;136325.07;15441.65;27509.37;8870.35;2793.74;77454.18;0;0;546.71;0;154463.96;80389.13;581882.85;4126.82;0;0;4804.3;11369.66;0;1542.32
M;85 t/m 89 jaar;ZOETERMEER;670;618.32;2979328.16;646186.73;108461.23;85013.99;93797.71;90481.88;298838.18;29391.69;87324.84;19340.78;12622.67;220323.52;0;0;7397.94;0;390993.87;79547.02;993238.17;14963.16;0;2404.14;9664.37;24020.52;0;0
M;85 t/m 89 jaar;ZOETERWOUDE;68;63.9;280339.23;63531.95;10944.64;16949.93;1696.33;15424.88;44955.91;1410.34;8033.94;867.22;561;9664.62;0;0;721.94;0;0;7256.5;131004.79;2300;0;0;2127.65;5530.35;0;0
M;85 t/m 89 jaar;ZUIDPLAS;286;275.49;1282434.7;300060.68;47011.13;49299.11;34062.56;38919.63;100984.47;14922.45;18700.26;7069.27;521.32;53424.04;0;0;295.36;0;26496.94;57575.87;343618.33;2948.48;0;56.54;15156.44;3550.44;0;0
M;85 t/m 89 jaar;ZUNDERT;189;173.57;735148.67;202500.14;30582.04;21654.67;22729.01;14600.64;82016.97;11773.12;24636.17;3969.83;11664.9;40020.82;0;0;0;0;39669.42;26858.36;354376.25;4224.08;0;0;825.78;992.29;0;0
M;85 t/m 89 jaar;ZUTPHEN;294;266.79;1387002.55;270928.67;47250.91;53382.74;27921.61;48920.08;116166.46;29036.08;14666.17;6053.23;6197.1;81937.01;0;0;190.93;0;210880.29;79771.43;542016.34;5435.77;0;386.6;8051.77;5832.97;0;0
M;85 t/m 89 jaar;ZWARTEWATERLAND;120;112.17;428717.63;127260.03;17995.08;33263.57;18202.61;22252.34;70712.09;4403.28;8495.89;1247.42;6041.42;35635.56;0;0;0;0;47435.22;0;115138.03;486.36;0;0;8576.62;0;0;0
M;85 t/m 89 jaar;ZWIJNDRECHT;411;382.46;1947198.92;403497.92;60350.77;80101.04;42353.21;43378.05;165150.75;20797.55;11307.63;6696.93;3093.52;93253.28;0;0;12180.95;0;240593.97;290869.11;750880.43;3369.66;0;0;9855.96;21077.44;0;498.77
M;85 t/m 89 jaar;ZWOLLE;703;655.29;2901056.82;653507.01;116170.35;105297.97;116290.24;109330.02;343837.7;26043.29;77645.93;21430.5;16748.83;142303.96;0;0;3724.41;0;380296.32;91414.47;1111415.38;5456.39;0;0;41055.6;12760.88;30157.2;0
M;90+;AA EN HUNZE;94;82.67;320469.26;77202.53;15907.51;18160.53;11368.04;20157.14;32171.62;5049.72;642.04;1636.36;2589.2;52110.22;0;0;0;0;45209.89;63246.39;268872.39;0;0;0;6874.41;0;0;0
M;90+;AALSMEER;101;87.85;298516.14;92290.82;15624.12;25985;1414.8;18891.42;57604.29;7164.33;3984.88;4189.55;23.76;26160.84;0;0;0;0;51668.96;35133.31;222950.62;713.65;0;0;5577.74;0;0;328.64
M;90+;AALTEN;75;65.96;213407.99;72335.63;11758.93;14251.97;8168.86;12334.42;44635.93;3428.84;1065.04;3273.04;66.3;10881.44;0;0;0;0;29325.14;30901.26;268639.94;1026.71;0;0;1555.57;4506.58;0;0
M;90+;ACHTKARSPELEN;63;55.61;188243.06;56903.22;10259.76;14368.69;284.83;19398.06;25269.89;2235.14;410.54;649.42;83.16;11158.54;0;0;0;0;28014.82;32530.31;183233.17;933.25;0;0;289.54;0;0;0
M;90+;ALBLASSERDAM;59;54.59;149269.09;47867.13;9415.49;11558.73;8840.73;4437.69;14621.81;1706.55;1730.52;201.64;0;10331.86;0;0;149.41;0;7429.58;36386.26;137385.91;1581.9;0;0;57.29;0;0;0
M;90+;ALBRANDSWAARD;64;59.88;194225.71;48727.06;11133.29;16497.51;7293.84;6165.06;34415.27;4125.38;4378.19;4439.67;121.32;23242.98;0;0;0;0;6336.8;7482.3;121929.93;3859.05;0;0;4198.73;0;0;0
M;90+;ALKMAAR;315;273.05;1084420.98;276993;50697.14;80130.52;69704.56;69434.02;201535.78;9321.62;19244.71;13962.7;531.8;87319.44;0;0;0;0;229683.53;38089.34;758464.57;165.6;0;0;19039.1;28960.82;0;0
M;90+;ALMELO;191;179.73;430895.33;187676.26;32048.67;30628.43;14865.65;36847.66;105598.22;14686.82;12021.09;4907.9;239.4;38452.32;0;0;0;0;31078.6;51095.95;655677.81;3065.85;0;0;8251.57;682.72;503.82;3336.95
M;90+;ALMERE;275;240.95;1013868.71;265867.96;44255.81;59443.01;36242.09;54565.19;145303.05;11667.23;6201.28;7440.01;845.34;105819.33;0;0;64745.35;0;231342.8;30328.09;900035.75;7722.01;0;0;10726.88;1208.24;0;0
M;90+;ALPHEN AAN DEN RIJN;287;254.44;760553.98;266198.42;46394.17;63464.54;5661.25;59939.87;154805.92;6933.4;9326.33;9551.49;4653.54;40186.36;0;0;129.9;0;131798.28;12392.45;763965.33;2482.04;0;0;7946.5;0;0;1547.14
M;90+;ALPHEN-CHAAM;33;28.88;49682.63;29088.82;5271.44;7218.51;4402.69;2166.77;12855.56;1176.6;0;2308.56;0;10137.38;0;0;0;0;0;0;35334.74;0;0;0;132.32;3066.48;0;0
M;90+;ALTENA;136;118.62;309429.42;130642.02;22160.72;49675.51;9762.06;16428.51;91995.07;3053.18;10025.51;4045.37;0;31867.34;0;0;0;0;12362.45;28421.13;483355.82;846.28;0;0;4103.46;0;0;0
M;90+;AMELAND;10;8.34;6912.42;8889.03;1370.44;4343.72;962.86;6417.62;5140.67;711.96;1305.15;107.76;0;2127.3;0;0;0;0;0;0;159539.04;0;0;0;405.28;0;0;0
M;90+;AMERSFOORT;352;309.58;1056642.55;322334.31;56557.01;83472.71;31537.89;71406.38;201223.3;14516.12;15506.74;23715.81;0;78945.96;0;0;0;0;143865.51;24687.48;909485.83;5079.91;0;519.16;11585.35;3348.36;0;727.01
M;90+;AMSTELVEEN;392;343.73;1516857.44;302535.91;60345.75;75888.85;8232.58;60979.18;151067.94;6038.69;12537.62;8495.27;293.82;104766.24;0;0;3312.63;0;134240.36;271566.06;1116137.43;2056.51;0;0;29264.17;2452.17;0;478.82
M;90+;AMSTERDAM;1567;1381.82;5748530.04;1378316.9;248087.98;297095.8;199230.37;251510.89;704652.35;63247.84;117892.78;112712.99;10188.11;546221.64;0;0;35443.07;0;1191304.99;846770.26;4666193.34;20736.65;0;284.99;69761.3;62416.58;1177.77;12484.13
M;90+;APELDOORN;533;463.83;1736830.19;434336.39;82782.17;107459.55;43109.75;91548.88;286450.8;9771.41;23289.35;15665.41;3361.66;129030.94;0;0;95.58;0;291141.66;142547.75;1364511.29;283.71;0;0;25216.64;20017.49;29093.9;1012.9
M;90+;ARNHEM;371;324.02;1508045.31;288228.92;50716.3;71168.63;38490.83;67969.78;199955.2;12236.1;46260.27;16324.63;760.36;97622.76;0;0;37083.94;0;152258.41;311848.4;800696.5;28241.56;0;0;11345.59;3301.35;24393.64;1030.21
M;90+;ASSEN;218;187.22;592897.24;164419.29;34605.52;40648.94;24703.49;31205.52;94289;13806.08;17535.84;8480.27;209.4;48681.04;0;0;6.05;0;247467.33;96975.83;530060.32;885.24;0;0;14243.11;315.29;0;1187.07
M;90+;ASTEN;43;37.18;150567.74;37456.67;6835.75;10683.14;4320.1;5240.43;26297.36;381.69;4317;3415.24;0;5101.7;0;0;0;0;1839.48;0;72370.07;715.32;0;0;1110.1;0;0;0
M;90+;BAARLE-NASSAU;29;26.69;151264.41;29225.97;4975.06;7799.93;4718.27;3708.88;11173.1;2018.09;0;1069.89;0;7270.78;0;0;0;0;0;0;174320.78;0;0;0;56.89;0;0;0
M;90+;BAARN;125;104.71;485569.41;99899.31;19420.8;27670.76;9495.72;25560.27;74721.86;6755.62;3433.37;7481.68;4531.42;36915.66;0;0;0;0;117480.27;34171.09;262053.34;13386.54;0;0;8984;4870.2;0;0
M;90+;BARENDRECHT;140;127.15;560579.18;115173.86;23799.07;36977.61;10999.3;18550.63;80065.25;1833.71;6336.39;7209.55;2048.04;37751.82;0;0;0;0;172549.66;40109.58;388430.19;1627.09;0;0;5771.45;897.44;0;0
M;90+;BARNEVELD;188;163.57;461450.02;164447.11;26042.71;41266.35;17278.56;26852.97;78838.71;12323.15;6481.09;8201.36;3433.12;40968.7;0;0;0;0;44639.2;15068.25;526104.74;2763.02;0;881.5;11337.73;5445.41;0;0
M;90+;BEEK;68;58.97;193675.72;64167.76;11211.8;13370.79;7751.76;9102.98;42092.23;3214.34;12572.21;4184.46;0;8528.96;0;0;0;0;0;26212.19;208852.94;0;0;0;5760.65;1560.7;0;0
M;90+;BEEKDAELEN;113;100.16;390656.08;115144.36;17755.92;27670.68;11007.01;12934.04;60565.58;5160.44;14447.33;6691.87;0;26296.45;0;0;10828.44;0;37320.95;54204.81;381832.39;668.89;0;0;8418.75;12529.02;23084.54;1559.44
M;90+;BEESEL;41;35.48;138660.23;41718.06;6003.19;3337.49;9918.04;3762.81;10957.21;1371.5;943.11;2306.78;0;9886.5;0;0;0;0;15917.41;12007.75;119322.81;517.72;0;0;277.92;772.38;0;0
M;90+;BERG EN DAL;139;117.58;540750.04;134524.85;20693.27;37651.82;14552.26;23469.71;56533.9;2653.82;17712.72;3528.44;0;35786.84;0;0;0;0;56637.97;35214.87;357478.75;596.6;0;0;3317.92;5923.43;0;0
M;90+;BERGEIJK;56;47.97;182064.35;59831.86;8589.84;10926.11;10243.54;5799.89;29179.45;2571.08;1787.65;557.15;0;12601.34;0;0;0;0;28078.97;16973.28;131858.77;305.6;0;0;4353.3;0;0;0
M;90+;BERGEN LB;34;29.26;73638.16;26150.32;4948.86;5743.52;3327.88;8702.27;10633.49;697.55;2429.51;2367.43;0;5957.38;0;0;0;0;0;7512.45;86400.2;0;0;0;2330.21;0;0;0
M;90+;BERGEN NH;180;160.72;680025.76;173423.37;30215.2;51116.29;53877.29;29046.44;91190.13;4259.1;14859.25;7274.63;0;36473.88;0;0;0;0;29618.78;33347.13;448558.04;0;0;73.34;6719.56;19874.08;0;0
