GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
;;;311439;179401.82;45814388.63;8968485.04;7410695.33;3794005.59;1303209.03;768494.72;2999518.18;1942775.39;1051546.33;389404.81;264512.83;109581.6;1596612.49;993813.67;893420.35;507538.48;26165.59;24559740.36;857.22;292763.73;1181000.61;242496.92
M; 0 t/m  4 jaar;AA EN HUNZE;493;457.44;534077.47;40697.16;0;25882.65;14403.4;984.57;36575.84;3411.28;12700.83;10942.45;13838.27;0;7239.8;0;0;0;0;6.99;23.1;0;0;0
M; 0 t/m  4 jaar;AALSMEER;826;749.31;785125.23;78495.82;0;42223.38;23232.3;839.84;53108.36;14528.67;19423.8;15847.67;19087.66;1214.2;20835.57;0;0;0;0;3287.47;21.84;0;0;45298.9
M; 0 t/m  4 jaar;AALTEN;635;563.76;821102.36;76760.38;0;31942.4;18228.34;525.52;37205.17;18967.54;14423.86;24407.01;18811.28;4937.04;10916.33;0;0;0;0;741.17;5.88;0;1109.04;51244.76
M; 0 t/m  4 jaar;ACHTKARSPELEN;759;675.92;933616.14;42450.54;0;37717.53;19272.42;141.2;56964.77;13832.85;15458.4;19548.2;29486.26;3878;11439.85;0;0;0;0;226.49;774.48;0;49631.1;34578.89
M; 0 t/m  4 jaar;ALBLASSERDAM;628;566.1;1707311.65;120525.5;0;31866.03;16803.42;614.6;31885.13;42459.75;11792.56;26768.5;21820.86;1694.3;17256.7;0;0;0;0;2271.37;8.4;0;287218.25;42693.76
M; 0 t/m  4 jaar;ALBRANDSWAARD;692;629.33;1285573.03;55918.51;0;35213.35;20582.71;705.54;46837.61;31596.38;13512.24;22781.19;32354.71;15268.24;17285.34;0;0;0;0;2742.78;3.78;0;19909.1;200648.92
M; 0 t/m  4 jaar;ALKMAAR;2897;2598.34;3065983.47;186514.37;0;145292;73198.42;627.29;177660.91;64743.18;88627.3;64150.98;105052.35;9239.67;75123.55;0;0;0;0;7432.96;88.62;0;71221.58;310323.31
M; 0 t/m  4 jaar;ALMELO;1848;1676.62;2638447.99;193637.92;0;95113.71;54521.67;240.99;161645.51;24446.6;35792.06;58433.17;107358.48;5908.68;39399.21;0;0;0;0;3680.93;43.68;0;6694.95;433975.57
M; 0 t/m  4 jaar;ALMERE;6227;5549.98;8882184.79;652214.58;0;308085.97;181535.05;116184.14;435489.2;213770.74;184400.32;149896.98;260612.29;27060.39;141967.65;0;0;0;0;59641.63;232.26;0;226585.38;1272850.47
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;2971;2665.35;2877164.21;267006.52;0;150440.47;83214.99;42547.12;269008.52;54407.36;67332.96;87581.26;131133.84;7438.53;70388.56;0;0;0;0;8648.96;70.56;0;27334.67;141154.12
M; 0 t/m  4 jaar;ALPHEN-CHAAM;231;201.22;267457.36;12157.47;0;11157.76;6741.24;15;10956.02;1980.39;3910.17;4306.03;8558.82;922.7;3149.57;0;0;0;0;1888.37;6.3;0;0;10719.76
M; 0 t/m  4 jaar;ALTENA;1510;1349.39;1416607.38;95162.63;0;75532.15;40659.82;3.06;87089.66;27249.97;35811.19;59963.04;67106.97;26047.73;18636.12;0;0;0;0;6439.66;21;0;48297.49;131493.93
M; 0 t/m  4 jaar;AMELAND;100;89.44;34151.78;2764.6;0;4843.15;2185.63;66.25;6477.34;129.37;862.08;706.3;701.36;0;4836.01;0;0;0;0;0;77.7;0;0;48.74
M; 0 t/m  4 jaar;AMERSFOORT;4693;4194.79;5237383.71;358031.22;0;235038.62;135802.03;27601.29;357264.78;98275.97;88873.48;104334.32;224738.19;10935.32;66979.09;0;0;0;0;17588.17;162.54;0;420797.63;550505.87
M; 0 t/m  4 jaar;AMSTELVEEN;2498;2189.53;2435624.53;182364.28;0;119673.05;61326.71;19856.69;176932.12;99017.69;72509.37;80641.36;75420.63;13122.54;40159.29;0;0;0;0;13508.29;36.96;0;383781.56;281485.53
M; 0 t/m  4 jaar;AMSTERDAM;24509;21365.62;29717437.24;1803308.96;0;1188988.21;697657.81;179265.85;1777762.31;476501.26;672546.65;552805.84;1152584.62;49033.18;560786.25;0;0;0;0;184787.87;635.88;0;1451596.33;2930102.59
M; 0 t/m  4 jaar;APELDOORN;4147;3728.24;4985142.02;393955.59;0;208147.86;104019.2;16272.73;287278.45;77927.74;82738.14;86351.12;174635.46;10172.58;51648.88;0;0;0;0;9075.17;139.02;0;311442.29;332680.68
M; 0 t/m  4 jaar;APPINGEDAM;267;238.8;415728.44;18451.36;0;13355.93;6985.18;4180.76;21878.04;15129.48;6121.46;10431.78;15570.43;3724.52;7913.08;0;0;0;0;0;15.12;0;112448.75;20646.6
M; 0 t/m  4 jaar;ARNHEM;4351;3914.58;6113933.63;342326.97;0;218835.7;125550.75;24709.74;374520.56;76257.53;104523.11;171064.21;275977.86;21591.25;103125.81;0;0;0;0;20022.59;126.42;0;49699.78;669327.77
M; 0 t/m  4 jaar;ASSEN;1748;1558.61;2838566.9;107523.33;0;86810.63;47835.96;13316.72;140355.42;28777.07;31013.54;41795.33;55424.7;4599.52;37876.69;0;0;0;0;1530.1;128.52;0;227415.69;175093.37
M; 0 t/m  4 jaar;ASTEN;380;343.9;397208.89;35089.85;0;19533.44;10753.73;17.13;21584.75;4524.32;8634.45;30597.57;21310.65;5553.6;1602.48;0;0;0;0;617.47;7.14;0;0;49366.54
M; 0 t/m  4 jaar;BAARLE-NASSAU;151;135.93;165805.43;11909.83;0;7521.92;4587.8;0;7893.5;1079.44;1858.58;3694.42;2129.89;0;5277.67;0;0;0;0;3283.63;0;0;414;6614.66
M; 0 t/m  4 jaar;BAARN;615;554.66;585807.69;40642.2;0;30830.1;15437.42;367.26;44525.92;11197.95;10261.31;13645.85;30263.63;19261.16;8045.81;0;0;0;0;3530.08;15.12;0;0;196598.41
M; 0 t/m  4 jaar;BARENDRECHT;1430;1280.81;1662570.03;124416.75;0;72175.54;39902.37;1183.84;94827.94;43865.89;36629.13;44191.05;69308.18;36991.55;39647.71;0;0;0;0;9749.36;25.62;0;243592.24;45152.9
M; 0 t/m  4 jaar;BARNEVELD;2002;1801.19;2190309.23;186245.68;0;101182.27;48549.68;4516.52;127133.2;43531.26;46066.75;71865.84;59426.12;4430.61;26723.92;0;0;0;0;2802.02;54.18;0;468073.2;137470.53
M; 0 t/m  4 jaar;BEEK;312;283.96;681337.87;42469.33;0;16015.36;9379.59;0;21576.67;7983.79;6143.14;5848.23;22017.7;5941.5;6214.14;0;0;0;0;455.73;5.88;0;27342.43;45256.6
