GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
V;30 t/m 34 jaar;LEIDERDORP;720;713.02;745737.52;105520.97;159874.19;41853.83;28571.73;10729.67;40593.5;35761.8;1396.84;3415.33;3035.46;1273.35;11465.03;190118.27;123882.14;19189.81;0;3040.39;15.04;0;1415.8;12231.32
V;30 t/m 34 jaar;LEIDSCHENDAM-VOORBURG;2228;2192.3;2594485.38;272867.84;758030.96;128281.44;99473.63;14651.85;86617.32;70160.01;10223.33;15775.87;12638.23;1487.33;38825.26;519958.47;371899.14;71137.7;37658.02;12844.16;68.62;0;99995.75;4958.39
V;30 t/m 34 jaar;LELYSTAD;2520;2491.33;3339414.65;387696.93;853851.24;146330.72;141133.85;26440.6;148207.54;93924.84;12260.05;8086.07;15117.83;9559.24;34718.12;454735.73;329356.93;75026.3;104915.33;7820.85;114.21;0;30521.25;10207.19
V;30 t/m 34 jaar;LEUDAL;754;742.94;971924.39;117061.15;127186.42;44138.95;35941.37;2944.36;32328.18;23210.57;6474.05;11052.65;1929.74;4781.04;18456.35;181806.92;113746.84;28765.26;0;7919.63;8.93;0;3239.12;2897.08
V;30 t/m 34 jaar;LEUSDEN;763;759.06;902632.5;76879.89;203451.89;45076.6;35756.79;8576.72;37433.39;22490.52;3487.61;7794.58;3123.57;3475.7;4614.83;268584.95;161816.49;21603.23;0;1167.2;26.32;0;403.65;2579.51
V;30 t/m 34 jaar;LINGEWAARD;1125;1120.1;1560891.03;128244.83;277751.85;66080.97;55388.81;2562.03;48606.02;34463.25;3992.12;3069.8;8304.91;4714.74;11582.97;301667.43;201909.34;49778.87;0;1377.05;15.04;0;9165.77;3264.2
V;30 t/m 34 jaar;LISSE;583;578.11;709968.74;95135.85;128403.47;34273.82;27654.04;1608.43;28755.95;28722.75;596.05;4381.21;2847.04;0;8105.79;199934.27;124611.25;33094.97;0;352.58;12.69;0;324;545.12
V;30 t/m 34 jaar;LOCHEM;632;628.16;647423.26;94577;166088.9;37173.03;27102.75;6669.89;34234.03;27022.79;2154.89;10396.76;3155.94;55.68;9023.38;191842.22;135615.56;22027.95;0;290.38;27.26;0;10341.52;609.21
V;30 t/m 34 jaar;LOON OP ZAND;626;620;829341.04;87876.4;297424.92;36343.84;33905.8;2315.33;26495.01;21779.29;2853.8;3427.95;3990.17;9320.71;13365.42;140482.28;94247.97;18093.98;0;21607.54;3.76;0;4900.06;10049.83
V;30 t/m 34 jaar;LOPIK;358;353.65;439053.25;334614.36;46311.63;20945.23;16600.81;1503.12;18744.01;10265.19;2796.89;3504;1177.06;577.4;8997.17;106474.1;86566.22;11752.37;0;2074.36;6.58;0;0;345.37
V;30 t/m 34 jaar;LOPPERSUM;198;197.72;204127.25;26371.15;47795.24;11572.28;12011.45;1199.27;8806.99;3606.18;0;0;676;0;3091.86;50219.08;30521.48;4635.57;0;71.42;21.62;0;0;279.36
