geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_z;kosten_farmacie;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysioth;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiez;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_integrale_geboortezorg;kosten_innovatiegelden_ggz;kosten_overig;kosten_consulten_ggz;kosten_intramuraal_verblijf_ggz;kosten_overige_prestaties_ggz
V;15 t/m 19 jaar;ROTTERDAM;17304;16339.33;10067872.66;1884979.07;1349263.73;684347.4;420323.75;1307766.4;610409.25;3528838.73;562544.06;157280.37;9765.4;247933.6;113432.74;136858.06;67421.45;0;0;0;210366.54;2578.83;4430;790.64;118242.43;2751941.45;704703.73;43547.77
V;15 t/m 19 jaar;ROZENDAAL;75;70;36915.49;6557.49;5215.28;3395.13;2368.17;4373.17;170.9;14288.17;4828.19;837.82;0;0;0;0;194.81;0;0;0;0;0;0;0;0;2910.4;0;0
V;15 t/m 19 jaar;RUCPHEN;519;501.97;296572.67;52189.96;37372.54;22775.22;12500.78;27055.54;26781.79;81242.3;34822.82;4719.36;0;6375.59;0;0;462.56;0;0;0;0;0;10018.09;0;668.73;24593.74;0;0
V;15 t/m 19 jaar;S GRAVENHAGE;15550;14573.8;8060240.43;2066348.67;1077851.43;619129.8;196388.29;1135363.93;499229.92;2879044.05;532738.71;125090.4;11598.62;231920.81;62083.18;106084.75;93427.21;0;0;0;172844.16;2778.59;0;0;84176.35;2748133.14;715082.44;46455.09
V;15 t/m 19 jaar;S HERTOGENBOSCH;4135;3956.77;2395367.94;556732.69;302720.86;215250.81;36215.28;271971.12;139199.48;714814.84;247948.22;46738.85;16743.6;46703.86;4547.45;17270.21;16115.13;0;0;0;35072.12;0;0;0;55832.89;906747.12;85391.1;21487.64
V;15 t/m 19 jaar;SCHAGEN;1510;1454.15;1122751.49;131406.31;108278.36;54235.72;1241.46;138798.27;42876.05;233273.12;80050.52;23126.26;0;22270.66;0;0;3833.7;0;0;0;3299.36;0;0;0;133255.76;243359.53;15475.87;2601.71
V;15 t/m 19 jaar;SCHERPENZEEL;293;280.47;131915.54;18072.07;21048.72;11813.7;6055.72;19711.91;17137.55;65219.81;18365;2376.77;0;2804.79;1269.93;0;171.45;0;0;0;0;272.27;0;0;374.76;21631.44;0;3601.07
V;15 t/m 19 jaar;SCHIEDAM;2100;1986.41;1289529.57;176495.49;158380.91;10875.76;10843.92;244385.73;75885.39;392293.4;80062.93;22534.31;0;49940.16;20479.28;27641.4;4160.34;0;0;0;63474.26;0;1963;0;11103.59;286393.87;33732.31;9986.98
V;15 t/m 19 jaar;SCHIERMONNIKOOG;15;14.27;3770.45;1206.93;1050.56;328.01;211.44;2659.45;0;4223.98;850.53;0;0;0;0;0;85.34;0;0;0;0;0;0;0;0;3273.48;0;0
V;15 t/m 19 jaar;SCHOUWEN-DUIVELAND;792;762.84;549483.88;274542.27;57021.68;32206.97;12441.97;52293.25;25949.32;88339.54;42944.38;8808.75;4743.32;8421.67;33;265.32;2531.62;0;0;0;1902.82;273.61;8896.18;0;1522;125225.01;7688.52;388.37
V;15 t/m 19 jaar;SIMPELVELD;228;218.81;86848.46;18040.21;16265.36;10754.9;5203.7;20396.45;9880.08;30018.42;16362.84;1842.91;0;1766.82;0;0;1265.92;0;0;0;0;0;0;0;605.99;17060.56;0;84.42
V;15 t/m 19 jaar;SINT-MICHIELSGESTEL;873;839.06;464620.92;101437.08;62893.56;58315.08;7416.65;49022.2;18708.53;118643.25;72371.24;11455.76;0;11577.97;0;146.7;3912.46;0;0;0;2429.05;0;0;0;652.39;129323.17;14166;3410.13
V;15 t/m 19 jaar;SITTARD-GELEEN;2105;2012.52;1274458.81;187923.32;154639.11;107234.24;22116.66;178630.52;81728.91;281162.55;144640.04;28388.59;15922.89;26038.1;10514.8;17260.57;20727.66;0;0;0;749.76;3213.76;0;0;5475.43;475945.65;163104.32;5970.86
V;15 t/m 19 jaar;SLIEDRECHT;767;731.28;417614.66;81496.84;55492.14;29443.75;5817.54;31645.34;70319.77;125259.93;39710.74;5029.24;2550.97;6819.47;7444.21;5711.6;13862.42;0;0;0;23285.1;0;0;0;9422.16;269434.15;114637.82;4368.4
V;15 t/m 19 jaar;SLUIS;483;465.92;159763.58;52184.03;33093.08;18321.7;5311.96;25310.38;22235.08;51032.62;16315.77;4561.89;888.3;12184.72;547.86;1309.12;85594.82;0;0;0;647.87;2031.75;0;0;124.66;102674.18;80566.7;0
V;15 t/m 19 jaar;SMALLINGERLAND;1753;1684.5;1257196.13;143455.69;128470.78;77845.91;26832.48;142655.28;47930.19;276512.14;76145.28;15613.94;39023.21;28058.95;5090.74;7478.78;843.92;0;0;0;6588.81;0;0;0;2755.04;361995.1;15129;20496.22
V;15 t/m 19 jaar;SOEST;1432;1369.38;1001584.97;138823.77;104435.28;60184.42;27155.69;102176.66;67702.19;235082.07;101939.93;15375.99;451.25;21758.68;0;2000.56;12883.59;0;0;0;797.1;0;0;0;3017.8;315040.78;103062.46;7776.37
V;15 t/m 19 jaar;SOMEREN;451;441.27;208733.35;36089.04;33119.91;27285.51;9697.6;28831.46;14590.87;57416.65;42136.18;6301.74;4246;2722.68;0;2354.44;2997.4;0;0;0;0;0;1859.89;0;85094.08;91720.71;53880;0
V;15 t/m 19 jaar;SON EN BREUGEL;512;488.45;330329;146706.4;36286.64;29644.3;12039.07;29928.77;6888.28;69733.12;33372.64;6514.57;0;3480.51;127.52;3854.02;1457.51;0;0;0;1711.58;0;0;0;17658.41;59468.68;0;1641.35
V;15 t/m 19 jaar;STADSKANAAL;859;816.37;607616.57;133001.09;62938.87;43539.48;9708.66;57608.1;37642.15;132716.67;43436.3;7945.77;1403.26;17862.36;7114.6;12076.38;165;0;0;0;14075.49;0;0;0;1321.04;102119.12;4254.21;5358.33
V;15 t/m 19 jaar;STAPHORST;606;580.74;315857.42;34445.49;43350.44;18073.04;15709.63;27446.28;24444.42;97255.57;27075.73;6914.56;0;5791.64;0;366.75;1665.77;0;0;0;12842.4;0;0;0;3955.42;76712.21;0;810.01
