GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_OVERIG
;;;271167;170530.86;45049552.97;10593120.92;14401302.62;3367550.66;1131459.51;2318134.47;2114493.65;1061386.69;542996.43;257108.41;223454.1;1448117.94;1238603.6;833516.69;406027.33;8948112.59;271.72;657741.67
M; 0 t/m  4 jaar;AA EN HUNZE;552;504.91;526875.73;35758.49;11988.71;29230.33;14771.56;30141.52;36445.85;12465.19;11490.98;9680.14;13580.92;6386.44;0;0;80.46;96.01;17.95;21.04
M; 0 t/m  4 jaar;AALSMEER;1034;946.3;666820.69;81961.73;19247.99;54680.33;28273.18;64268.7;20670.86;17184.97;21899.47;18600.57;366.29;10792.41;0;0;774.69;2791.79;10.71;622.9
M; 0 t/m  4 jaar;AALTEN;782;709.39;582527.02;83090.93;0;41553.03;22710.16;38154.59;14715.49;12795.72;18067.67;23476.16;874.52;9342.07;0;0;0;1188.44;1.26;75.36
M; 0 t/m  4 jaar;ACHTKARSPELEN;900;814.69;957734.45;93637.55;58247.84;46824.76;22975.91;51369.6;62276.73;12774.69;32906.49;23847.33;498.81;22858.92;0;0;0;177.55;764.49;2256.22
M; 0 t/m  4 jaar;ALBLASSERDAM;653;593.27;713840.16;56782.31;11033.9;34182.86;19187.43;32346.83;27588.16;9083.26;33005.51;15943.2;0;8235.68;0;0;278.75;971.05;1.26;174.42
M; 0 t/m  4 jaar;ALBRANDSWAARD;826;751.96;867300.37;75289.83;12987.5;43427.76;25791.87;42065.9;16545.29;7817.9;20018.07;18745.88;160.54;11477.7;0;0;845.5;2377.91;0;180
M; 0 t/m  4 jaar;ALKMAAR;3015;2695.62;2068880.19;235975.78;32272.05;153444.52;75353.75;153751.5;56597.55;46591.15;54263.47;51397.14;730.46;36476.29;0;0;1223.98;9055.37;26.44;805.83
M; 0 t/m  4 jaar;ALMELO;2124;1929.48;1872185.57;231349.31;22082.27;111911.31;61069.16;158412.08;80262.01;34230.84;78382.32;75861;6279.56;30139.72;0;0;637.3;3668.75;15.1;84.56
M; 0 t/m  4 jaar;ALMERE;6672;5975.65;7478199.94;853612.94;424730.09;336131.16;199432.39;408362.66;295452.25;158700.14;110376.17;197298.29;26702.08;124869.56;0;0;3003.77;39040.88;98.86;166275.33
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;3214;2878.05;3514247.04;311879.98;61217.49;165164.03;96095.19;254999.83;102057.64;38982.01;95677.97;65747.78;418.81;35749.9;0;0;2741.44;9706.78;15.09;17837.65
M; 0 t/m  4 jaar;ALPHEN-CHAAM;238;215.8;205268.3;21179.58;4971.56;12302.79;7367.6;9565.81;7648.02;6029.25;10899.41;7470.21;0;2046.19;0;0;0;26.22;1.57;0
M; 0 t/m  4 jaar;ALTENA;1639;1463.08;1484413.62;136954.55;26022.7;83754.16;45453.71;65514.32;39056.82;26374.83;51475.15;52248.05;7684.99;16077.31;0;0;566.2;4435.87;1.89;102.4
M; 0 t/m  4 jaar;AMELAND;107;94.34;135441.53;10731.59;0;5128.27;2285.46;4892.14;5292.13;1339.39;490.39;225.31;0;3370.08;0;0;0;410.48;78.39;0
M; 0 t/m  4 jaar;AMERSFOORT;5297;4762.5;4037744.82;445275.47;72318.74;277081.25;149271.78;338771.85;113920.49;79627.03;102488.3;134922.11;2703.88;55207.58;0;0;1956.59;28985.23;62.95;3504.37
M; 0 t/m  4 jaar;AMSTELVEEN;2383;2110.06;2309314.77;185862.53;100649.62;118486.08;57950.23;148346.54;61480.2;41223.71;46738.84;57659.04;0;26459.96;0;0;336.4;75097.59;19.2;8058.75
M; 0 t/m  4 jaar;AMSTERDAM;25253;22081.56;26908534.62;1989715.25;1526100.43;1261849.65;711127.69;1520959.72;703839.23;539007.03;310459.29;780408.94;14473.44;402242.85;0;0;4067.92;437510.63;194.2;184785.97
M; 0 t/m  4 jaar;APELDOORN;4267;3829.9;4024441.61;452823.41;113780.58;220066.44;110284.82;236987.97;133349.35;60887.92;91961.15;127660.81;3450.13;38580.62;0;0;2400.03;17104.75;37.77;3763.42
M; 0 t/m  4 jaar;APPINGEDAM;281;258.6;319993.81;45153.51;29908.13;14545.18;8147.59;16809.8;12180.01;4786.75;11961.86;6365.39;8119.3;2701.8;0;0;0;149.02;2.52;15
M; 0 t/m  4 jaar;ARNHEM;4631;4128.33;4963398.68;499501.63;95117.12;238852.32;138330.39;305987.89;149711.34;78000.79;172955.47;165605.35;3982.48;69927.45;0;0;2104.76;14460.32;25.18;21217.7
M; 0 t/m  4 jaar;ASSEN;1998;1793.07;1939586.78;181994.8;324117.01;102878.86;56854.84;136739.88;74795.61;26503.66;89597.88;54032.16;3449.21;41369.85;0;0;1891.52;3402.03;95.41;16972.66
M; 0 t/m  4 jaar;ASTEN;439;396.87;355358.22;33704.11;7015.03;22843.69;12374.93;18457.02;13032;5872.45;37142.65;11744.88;0;1188.45;0;0;0;5246.69;1.26;0
M; 0 t/m  4 jaar;BAARLE-NASSAU;146;128.37;122099.1;15246.28;0;7080.85;4607.12;5779.18;2819.12;2356.89;3779.1;2498.54;0;737.11;0;0;0;4814.28;0;34.44
M; 0 t/m  4 jaar;BAARN;653;589.76;614106.48;65975.97;15718.89;33741.64;19346.24;35592.79;27867.62;12547.08;14340.97;22014.8;0;8120.59;0;0;652.28;1009.16;6.93;46.77
M; 0 t/m  4 jaar;BARENDRECHT;1499;1361.31;1478085.51;199702.41;7472.04;77903.04;44238.01;79120.65;74488.25;16934.57;49875.85;56928.93;7673.74;12965.55;0;0;143.36;11714.96;6.29;816.62
M; 0 t/m  4 jaar;BARNEVELD;1979;1762.17;1649992.84;163840.05;58827.21;100807.1;48397;94252.05;99137.46;34060.67;76102.14;41141.18;31555.91;25723.09;0;0;1854.43;501324.79;9.13;1141.69
M; 0 t/m  4 jaar;BEEK;281;254.76;420798.91;19746.66;2005.75;14664;8680.85;15686.02;8700.67;3659.77;6610.05;14364.34;0;3021.5;0;0;530.18;234.64;5.35;0
M; 0 t/m  4 jaar;BEEKDAELEN;725;655.96;651833.99;45824.48;12713.63;37375.32;23218.38;39041.74;21095.42;19723.04;11139.78;43481.83;808.43;6369.24;0;0;958.86;2916.98;0;485.21
M; 0 t/m  4 jaar;BEEMSTER;216;197.24;100831.53;8680.48;2867.53;11586.34;5013.83;14148.69;5499.03;3542.85;1675.91;3455.3;0;1390.42;0;0;0;434.45;3.78;24.82
M; 0 t/m  4 jaar;BEESEL;337;306.97;249290.72;21077.81;20889.46;18008.51;11118.41;22565.98;5911.97;4272.74;15869.94;18814.99;0;1928.68;0;0;0;302.28;0;24.59
M; 0 t/m  4 jaar;BERG EN DAL;736;663.3;613032.16;64791.87;32596.29;38471.16;21403.63;41565.47;37201.79;14692.7;39104.31;19197.6;413.41;2725.58;0;0;427.83;507.58;0.94;114.92
M; 0 t/m  4 jaar;BERGEIJK;450;404.24;680564.23;50400.07;11149.94;23084.44;15390.22;26402.17;20208.47;6782.95;12120.68;19267.59;0;10667.21;0;0;0;3771.38;0;4.4
M; 0 t/m  4 jaar;BERGEN LB;292;272.52;223038.59;19010.91;40883.1;15618.31;8964.33;17789.74;9555.84;4815.92;11214.88;10663.42;0;787.73;0;0;366.57;395.16;2.2;0
M; 0 t/m  4 jaar;BERGEN NH;542;499.35;346222.42;30227.57;9110.66;28848.38;11644.45;22049.68;52882.18;9733.49;9261.22;7626.61;0;9306.4;0;0;0;2730.41;4.41;48.46
