GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
;;;298389;185670.8;48662353.49;9220342.23;7475481.9;4092842.99;1388502.13;3042063.61;2081649.74;1249403.77;418648.3;290539.66;210313.33;1398151.05;1286545.5;1072906.37;490222.49;21946526.34;523.35;351533.29;850198.44
M; 0 t/m  4 jaar;AA EN HUNZE;507;468.83;473370.77;43305.49;14056.81;26239.56;12829.29;36034.65;12610.11;9311.14;15968.8;13783.67;638.08;5004.86;0;0;0;2571.36;31.05;0;186.03
M; 0 t/m  4 jaar;AALSMEER;876;790.65;932841.57;54597.52;34355.66;43971.27;22413.37;61629.32;17129.51;19042;20086.43;14105.95;0;20465.44;0;0;157.44;1743.72;12.6;0;13285.23
M; 0 t/m  4 jaar;AALTEN;667;600;515879.78;43516.71;2404.19;33749.1;18472.64;46720.61;20012.69;12909.41;20762.75;31816.27;1173.82;6282.28;0;0;1422.67;62.75;3.6;0;107.4
M; 0 t/m  4 jaar;ACHTKARSPELEN;810;737.03;766456.8;88084.16;6681.81;41477.79;19157.34;53633.01;11503.74;16695.1;23423.96;30454.49;204.3;17011.84;0;0;0;206.11;955.8;0;453.66
M; 0 t/m  4 jaar;ALBLASSERDAM;637;561.21;1252440.29;140225.6;9715.96;30705.39;15936.39;31785.55;71702.31;8872.7;23801.77;19202.75;0;11421.05;0;0;0;662.75;11.25;0;165.6
M; 0 t/m  4 jaar;ALBRANDSWAARD;735;663.22;927635.48;114174.07;2043.52;37028.38;21611.09;43714.55;19232.03;10709.17;29860.88;30449.94;0;13027.62;0;0;0;1422.76;7.2;0;368.37
M; 0 t/m  4 jaar;ALKMAAR;2967;2660.93;4005510.06;258936.51;22599.87;147227.49;71141.1;165486.61;55896.44;87464.96;58017.27;67205.26;4086.51;70806.48;0;0;168.55;7153.37;36.9;0;2707.21
M; 0 t/m  4 jaar;ALMELO;1906;1714.63;3518922.31;254976.19;87437.11;96757.71;51693.62;181015.5;50102.47;42179.39;66331.14;81595.14;7742.31;32328.75;0;0;3777.82;2492.23;27.45;0;682.51
M; 0 t/m  4 jaar;ALMERE;6255;5619.51;7825671.53;639268.24;99214.01;309943.9;174191.04;445270.67;244331.1;179465.22;107291.1;234203.8;7905.77;106253.46;0;0;16867.92;33222.25;166.95;0;150800.88
M; 0 t/m  4 jaar;ALPHEN AAN DEN RIJN;3085;2796.87;3047390.84;294522.74;33744.53;156261.33;81375.3;271674.84;95647.28;59992.63;92679.74;105169.02;3433.75;46454.56;0;0;1407.2;18265.47;50.85;0;48559.26
M; 0 t/m  4 jaar;ALPHEN-CHAAM;231;206.87;235240.18;11179.65;0;11351.97;5990.77;10660.78;6590.71;4003.11;7652.48;7232.16;5721.03;1576.62;0;0;0;988.3;5.4;0;105.58
M; 0 t/m  4 jaar;ALTENA;1543;1394.57;1656586.8;118365.83;8710.76;77716.65;37070.68;72924.25;29971.18;26604.74;48039.66;54773.59;1614.06;32902.87;0;0;0;4304.17;23.4;0;465.53
M; 0 t/m  4 jaar;AMELAND;98;91.52;62033.51;4054.05;0;5157.33;2463.82;7269.15;418.61;1094.7;1326.37;662.18;0;1802.75;0;0;0;76.13;92.7;0;26.4
M; 0 t/m  4 jaar;AMERSFOORT;4955;4453.77;5767012.01;325869.6;39689.36;246507.25;132059.53;381090.13;72285.5;113274.82;93449.63;174770.52;515.32;45777.55;0;0;4039.4;22469.47;146.7;0;20457.57
M; 0 t/m  4 jaar;AMSTELVEEN;2444;2154.54;2483901.87;173568.16;44865.37;116484.63;56927.3;179224.72;64373.26;60027.01;63957.47;74653.54;0;50353.26;0;0;5195.01;13131.55;23.85;0;31253.4
M; 0 t/m  4 jaar;AMSTERDAM;25103;22054.49;31815430.25;1837455.14;690610.06;1225798.96;662133.86;1658604.46;507126.6;726050.72;488809.97;971123.94;9885.79;451414.47;0;0;39219.79;183447.51;455.85;0;213663.66
M; 0 t/m  4 jaar;APELDOORN;4123;3726.1;4148710.88;339179.62;36120.45;207273.63;97588.18;285310.25;93368.49;79270;56752.82;129012.84;2506.13;46595.25;0;0;5713.86;9156.57;88.65;0;9012.08
M; 0 t/m  4 jaar;APPINGEDAM;275;250.74;308014.69;16685.32;14260.51;14027.23;7777.78;22312.09;24145.9;5004.66;15089.14;11633.45;403.72;4689.38;0;0;1379.9;289.89;11.25;0;4230.72
M; 0 t/m  4 jaar;ARNHEM;4552;4050.9;5501139.3;475338.78;79624.9;225247.23;118310.65;405788.88;147326.82;92820.46;174661.31;227032.8;5771.65;82884.72;0;0;1020.19;13020.37;92.7;0;23445.84
M; 0 t/m  4 jaar;ASSEN;1862;1686.05;1775148.19;137461.71;157983.15;93879.1;48223.57;149474.31;38741.35;27978.39;51006.73;71340.56;778.41;19048.57;0;0;1321.7;1744.96;131.85;0;15725.65
M; 0 t/m  4 jaar;ASTEN;398;360.56;796115.84;32064.36;6788.66;20092.01;10774.76;21524.09;4647.78;7149.79;27338.07;20021.79;3179.25;7118.67;0;0;0;450.61;0;0;216.12
M; 0 t/m  4 jaar;BAARLE-NASSAU;144;130.83;89670.08;6247.69;0;7102.09;4031.33;9450.67;2111.11;1912.15;2528.78;2230.59;0;2099.45;0;0;0;2513.34;0;0;114.54
M; 0 t/m  4 jaar;BAARN;607;557.85;712740.75;42493.57;0;31301.2;14908.28;42819.46;7693.52;13601.95;7544.17;27204.68;4730.1;6368.57;0;0;0;2826.74;15.75;0;672.87
M; 0 t/m  4 jaar;BARENDRECHT;1417;1290.45;1965752.24;148825.17;12043.38;71728.82;37971.12;86305.41;28447.21;20318.15;54002.38;62907.56;5045.91;29673.64;0;0;2629.35;19693.22;28.35;0;1459.78
M; 0 t/m  4 jaar;BARNEVELD;1986;1801.27;2252876.84;142006.42;14607.4;100134.32;39935.72;114361.38;41252.95;42193.84;54706.87;46116.08;4305.75;16458.97;0;0;0;1171.49;51.3;0;1959.55
M; 0 t/m  4 jaar;BEEK;322;284.51;355640.94;46196.29;8626.84;15872.98;8842.52;17942.04;6382.33;4633.18;10852.88;19976.95;0;1747.26;0;0;773.19;12151.21;7.65;0;109.7
M; 0 t/m  4 jaar;BEEKDAELEN;672;602.69;659544.46;61423.24;13064.43;33208.53;19159.56;36743.84;16528.54;11487.4;16915.41;38310.34;0;5329.49;0;0;0;6149.01;5.4;0;496.48
M; 0 t/m  4 jaar;BEEMSTER;219;202.41;226571.8;22761.51;4435.1;11264.31;4599.53;15726.1;2083.2;4561.2;2717.35;3332.87;0;2669.1;0;0;0;194.5;7.2;0;135.15
M; 0 t/m  4 jaar;BEESEL;319;285.98;424051.81;69961.72;35168.02;15851.85;8471.39;19334.03;21490.29;6537.13;11303.77;13236.72;0;7723.03;0;0;0;2389.54;6.75;0;110.4
M; 0 t/m  4 jaar;BERG EN DAL;740;651.71;745438.41;56593.5;2451.04;36000.67;18265.32;51794.86;10725.11;15909.25;27445.17;33460.56;0;9034.28;0;0;170.4;653.57;11.25;0;608.92
M; 0 t/m  4 jaar;BERGEIJK;396;358.11;292739.46;46288.74;11273.73;19799.2;12886.87;27333.95;20541.33;8341.45;13137.1;20749.47;0;1425.82;0;0;168;6395.19;3.6;0;824.14
M; 0 t/m  4 jaar;BERGEN LB;240;214.41;209927.58;17558.36;12233.7;11907.15;7403.29;17319.71;9834.69;5746.89;10315.46;24371.14;0;841.44;0;0;0;56.44;0.45;0;292.23
M; 0 t/m  4 jaar;BERGEN NH;454;410.68;349490.85;31146.41;262.64;22075.71;8913.9;17555.42;17079.23;9367.8;4565.15;9711.86;0;4487.38;0;0;0;2298.3;10.35;0;188.81
M; 0 t/m  4 jaar;BERGEN OP ZOOM;1669;1500.14;1571469.56;192843.5;17135.64;84161.62;46244.25;131410.52;48594.18;24113.5;48907.95;79278.01;1932.07;20518.09;0;0;816.82;24609.93;12.15;0;6944.01
M; 0 t/m  4 jaar;BERKELLAND;958;871.03;1523585.61;90371.28;19027.48;48826.63;26697.41;73201.88;18162.31;16158.48;31008.2;51733.77;4282.65;20095.13;0;0;2243.95;1283.57;10.35;0;463.77
M; 0 t/m  4 jaar;BERNHEZE;743;674.42;693837.84;73708.64;7723.85;37577.06;22304.4;48727.94;14284.87;17208.39;23764.45;27207.2;0;4990.77;0;0;0;507.8;7.2;0;518.34
M; 0 t/m  4 jaar;BEST;701;630.53;685680.27;53177.79;1102.77;35184.28;19986.79;38291.15;18268.96;12109.6;16836.9;48207.01;305.7;14986.42;0;0;168;5411.91;17.55;0;669.83
M; 0 t/m  4 jaar;BEUNINGEN;580;524.88;557312.89;42864.71;5055.55;29685.68;15666.06;41122.73;28232.63;30403.19;33160.08;25781.24;2755.33;8135.86;0;0;0;2407.37;7.65;0;556.91
M; 0 t/m  4 jaar;BEVERWIJK;1162;1041.1;1069246.41;84292.01;15007.79;57608.69;30237.68;92626.24;8082.34;35219.67;23510.03;33347.21;0;14854.64;0;0;453.79;7589.57;26.1;0;5352.64
M; 0 t/m  4 jaar;BLADEL;502;453.57;428914.38;24801.8;0;25385.74;14557.43;28473.3;8846.91;9073.64;10508.06;13386.76;6097.1;4673.31;0;0;1091.17;1249.44;5.4;0;638.52
M; 0 t/m  4 jaar;BLARICUM;192;174.19;242888.34;14406.14;2376.41;9615.01;4968.44;13892.7;1188.34;1267.29;5362.8;4397.17;0;1742.29;0;0;0;927.66;1.8;0;604.4
M; 0 t/m  4 jaar;BLOEMENDAAL;469;430.6;428214.13;30404.17;2756.56;24242.94;10715.58;29549.46;8184;8366.29;6043.5;16957.58;15.6;5807.05;0;0;453.79;965.54;16.2;0;873.12
M; 0 t/m  4 jaar;BODEGRAVEN-REEUWIJK;964;863.12;971691.46;115774.32;16202.77;48113.01;25705.76;51592.61;37292.94;19229.7;26394.35;43820.54;10391.88;10547.02;0;0;0;1598.17;14.85;0;712.96
M; 0 t/m  4 jaar;BOEKEL;231;208.45;181905.46;7420.18;2249.65;11483.46;5634.95;11641.91;1345.71;5037.85;3121.65;3996.8;223.3;1391.8;0;0;174.11;0;0;0;122.7
M; 0 t/m  4 jaar;BORGER-ODOORN;528;480.83;401977.57;52212.11;93258.67;27166.32;15270.61;38378.3;3540.07;12826.83;7770.45;12262.18;1449.04;3757.81;0;0;0;1306.45;28.35;0;168.8
M; 0 t/m  4 jaar;BORNE;607;552.7;771635.36;88712.63;6159.88;30478.13;15881.97;45477.5;24551.66;11476.28;21836.25;20838.05;455.18;11881.13;0;0;599.01;682.93;14.85;0;55.2
M; 0 t/m  4 jaar;BORSELE;595;533.94;593325.12;58009.58;4434.22;29541.42;13638.5;27640.51;20098.33;9502.41;19918.45;21218.07;1068.24;4502.69;0;0;0;3186.82;1.8;0;405.27
M; 0 t/m  4 jaar;BOXMEER;582;522.68;847378.69;37462.67;904.31;28767.23;12755.54;37190.45;29037.46;16482.6;27314.91;26768.11;22897.56;10574.27;0;0;408.41;447.22;10.35;0;947.8
M; 0 t/m  4 jaar;BOXTEL;694;632.25;612965.37;39964.82;23563.55;35336.3;20560.19;32402.33;14094.2;20139.74;26427.81;32799.09;0;4781.44;0;0;5157.29;405.87;4.5;0;2845.61
M; 0 t/m  4 jaar;BREDA;4864;4343.24;5903200.68;406770.03;37789.31;240810.94;127294.64;272818.74;111843.26;104513.87;197732.85;196505.1;6544.8;55363.04;0;0;1441.66;30007.24;51.3;0;4173.69
M; 0 t/m  4 jaar;BRIELLE;332;293.6;331836.09;24232.06;0;16374.15;8305.01;16047.78;8777.7;3830.98;7642.56;9716.1;544.77;5195.93;0;0;0;1062.01;3.6;0;132.77
M; 0 t/m  4 jaar;BRONCKHORST;689;625.82;707228.18;84378.31;4275.41;35180.88;17944.56;47001.41;19851.7;14720.08;22065.86;19560.64;972.12;19554.21;0;0;0;281.74;4.05;0;228.6
M; 0 t/m  4 jaar;BRUMMEN;431;393.49;688609.06;37044.79;1080.71;21885.78;12746.59;30241.34;10436.98;5383.25;8177.76;30437.02;1591.43;8206.14;0;0;1523.83;3071.73;5.4;0;153.47
M; 0 t/m  4 jaar;BRUNSSUM;644;576.83;796662.42;80520.07;6843.7;31776.75;17733.73;46197.54;11060.98;19240.02;14234.96;36812.43;8324.08;10077.37;0;0;1430.4;999.29;3.6;0;2101.46
M; 0 t/m  4 jaar;BUNNIK;381;346.88;307884.29;29796.23;2195.43;19390.79;8652.11;22327.62;2665.94;5132.76;4634.17;14993.06;0;2802.63;0;0;695.87;163.92;9;0;717.98
M; 0 t/m  4 jaar;BUNSCHOTEN;701;634.31;1041849.29;72488;3618.85;34625.7;20103.99;48862.36;9533.59;17901.79;13338.62;36697.84;13803.78;10296.22;0;0;2502.58;3246.01;9;0;4745.4
M; 0 t/m  4 jaar;BUREN;649;586.81;596042.4;51160.61;13002.21;32258.42;16483.06;52433.78;4811.77;14947.01;12706.41;22002.02;0;10289.08;0;0;1007.06;211.84;7.2;0;734.92
M; 0 t/m  4 jaar;CAPELLE AAN DEN IJSSEL;1932;1719.14;1836194.45;153396.65;70127.15;95783.31;53568.54;150927.38;34843.93;33813.8;31935.2;54268.93;2450.74;21830.16;0;0;6665.14;19486.89;13.5;0;1895.4
M; 0 t/m  4 jaar;CASTRICUM;689;627.14;1023620.31;51356.5;7515.86;34799.59;17080.69;33000.89;8161.48;12962.28;18659.38;24933.7;750.92;11680.21;0;0;166.7;2064.03;20.7;0;252.11
M; 0 t/m  4 jaar;COEVORDEN;784;705.56;719975.24;58259.19;35608.01;38686.82;22238.88;60369.65;14640.81;17427.76;21843.88;22027.39;0;9448.81;0;0;0;2381.34;32.85;0;192.53
M; 0 t/m  4 jaar;CRANENDONCK;489;446.08;631434.97;51294.66;0;24676.29;12268.84;22156.51;8141.31;9265.99;11127.08;30171.81;785.64;4725.04;0;0;1380.41;1232.97;7.65;0;62.09
M; 0 t/m  4 jaar;CUIJK;639;568.63;1100122.69;57868.36;8695.32;31299.51;16116.68;53798.67;21063.36;14981.58;31213.97;34901.67;0;9282.11;0;0;0;1376.15;10.8;0;616.29
M; 0 t/m  4 jaar;CULEMBORG;776;716.03;1006487.59;66737.47;2189.08;40075.23;19052.13;58243;11554.59;21597.69;17738.41;35814.29;0;11112.52;0;0;417.49;400.83;16.2;0;1265.5
M; 0 t/m  4 jaar;DALFSEN;687;616.8;617171.86;25126.21;5209.01;34771.8;15066.52;42390.53;3744.03;11562.44;17353.82;21530.39;826.56;5454.08;0;0;757.73;1011.61;18;0;321.56
M; 0 t/m  4 jaar;DANTUMADIEL;471;418.14;376387.1;50862.87;7787.84;23244.51;10119.17;24229.21;14454.26;7448.8;15779.5;19032.57;1917.56;5513.81;0;0;0;79.17;526.05;0;339.14
M; 0 t/m  4 jaar;DE BILT;1013;919.37;1367358.43;85917.8;25839.38;50855.82;24362.82;72045.1;29813.17;19934.32;38263.98;36890.23;0;13421.85;0;0;157.44;3261.15;24.75;0;11781.77
M; 0 t/m  4 jaar;DE FRYSKE MARREN;1336;1218.07;1089873.33;101402.14;86257.59;68579.42;27802.96;76191.5;16017.95;24204.83;21820.89;42223.55;793.99;23782.05;0;0;174.11;1277.53;1312.65;0;275.84
M; 0 t/m  4 jaar;DE RONDE VENEN;989;891.28;777558.52;68474.05;10117.47;49458.42;26515.75;60145.85;17344.62;23597.39;20745.4;25542.41;0;17021.53;0;0;1091.17;6773.44;18.9;0;1829.75
M; 0 t/m  4 jaar;DE WOLDEN;480;436.45;449328.66;33790.34;32652.54;24593.06;11930.02;32447.42;10611.23;8623.34;13855.89;11329.13;5337.47;6277.33;0;0;1032.97;27.25;35.55;0;666.34
M; 0 t/m  4 jaar;DELFT;2345;2078.22;2983982.38;203699.8;44812.35;115776.83;57368.64;162088.81;41222.96;32334.58;47736.37;50665.17;152.62;34120.64;0;0;2348.17;6141.95;38.7;0;12529.93
M; 0 t/m  4 jaar;DELFZIJL;508;459.48;855726.36;58280.72;4275.41;25443.17;13507.78;39568.26;23989.33;9254.81;26034.36;14341.07;28733.06;8585.92;0;0;0;0;12.15;0;1593.84
M; 0 t/m  4 jaar;DEN HELDER;1396;1244.27;1473378.8;116377.91;23325.48;69419.64;35653.67;112843.95;23644.83;31057.35;43055.87;63215.84;3987.71;24941.85;0;0;0;2825.23;49.95;0;922.89
M; 0 t/m  4 jaar;DEURNE;826;728.36;1073377.39;61403.98;17895.9;40119.12;19915.73;42366.5;22289.39;15888.73;41778.38;37726.92;1761.31;7838.26;0;0;0;724.2;2.7;0;71.92
M; 0 t/m  4 jaar;DEVENTER;2726;2450.18;3716709.08;220511.47;73201.41;137869.83;67205.5;219377.7;130951.19;39798.39;49504.39;106287.84;8500.92;41039.92;0;0;3894.3;8816.32;81;0;1064.36
M; 0 t/m  4 jaar;DIEMEN;663;604.61;586297.3;34501.82;47170.04;33095.33;16767.49;42767.65;15875.1;21492.24;14900.93;27744.62;537.64;8696.73;0;0;0;4098.58;10.35;0;10905.63
M; 0 t/m  4 jaar;DINKELLAND;579;522.99;393737.96;54569.59;0;29015.58;14622.05;41330.27;4695.61;9662.09;31754.63;29951.45;0;1865.67;0;0;816.81;150.28;5.4;0;130.77
M; 0 t/m  4 jaar;DOESBURG;236;219.48;560872.72;39533.3;0;12334.1;7207.57;21835.73;11729.15;6066.81;5547.42;12378.36;8427.69;4030.83;0;0;0;273.53;1.8;0;3827.29
M; 0 t/m  4 jaar;DOETINCHEM;1423;1257.79;2107544.77;184965.72;5420.73;69298.49;35366.16;108628.31;26861.83;22133.54;55296.83;56885.28;1265.02;26252.85;0;0;575.11;2361.84;21.15;0;346.15
M; 0 t/m  4 jaar;DONGEN;605;540.55;547282.71;45143.28;45341.37;30519.83;18165.28;36932.04;17168.69;12852.95;16980.48;36804.13;2785.65;7618.61;0;0;0;557.55;7.2;0;2020.59
M; 0 t/m  4 jaar;DORDRECHT;3426;3057.51;3626919.97;296749.12;109089.4;171874.68;88219.87;232304.07;99033.36;43556.36;120891.93;121006.96;519.76;52498.56;0;0;2251.66;37392.4;56.7;0;3613.07
M; 0 t/m  4 jaar;DRECHTERLAND;482;424.87;309921.48;31388.64;0;23434.44;10801.69;24666.42;11003.01;12104.88;4227.9;16375.3;0;2627.63;0;0;0;2258.33;13.05;0;447.22
M; 0 t/m  4 jaar;DRIMMELEN;615;560.05;414224.52;35612.85;14902.53;31148.52;15554.66;31247.74;12900.33;11484.43;17244.88;23790.02;125.96;4352.27;0;0;1512.69;771.68;7.2;0;560.2
M; 0 t/m  4 jaar;DRONTEN;1115;1010.91;1318050.5;77879.43;12656.66;56459.04;31205.09;74049.12;25726.68;24422.28;26692.78;39996.73;1774.02;13200.87;0;0;166.7;1211.48;47.25;0;515.43
M; 0 t/m  4 jaar;DRUTEN;421;371.8;287700.42;37005.98;4045.21;21009.18;10368.27;25726.7;5785.55;13985.77;13475.54;24811.08;0;3919.71;0;0;408.41;540.48;0;0;478.28
M; 0 t/m  4 jaar;DUIVEN;598;543.14;645151.19;82407.54;7021.18;30348.23;16846.24;56860.06;16617.74;10456.08;15504.68;35901.48;267.45;8703.34;0;0;0;494.57;15.3;0;300.14
M; 0 t/m  4 jaar;ECHT-SUSTEREN;601;535.42;1117205.08;85575.22;50474.05;29763.89;18598.08;41976.58;32246.3;12335.36;26730.23;28737.81;2097.04;8829.99;0;0;1403.47;19950.79;9.45;0;253.7
M; 0 t/m  4 jaar;EDAM-VOLENDAM;836;761.06;886124.27;119226.97;3268.99;42544.32;31942.14;54104.87;24311.51;14564.33;29708.8;16543;4401.9;14632.21;0;0;0;9128.53;10.35;0;269.15
M; 0 t/m  4 jaar;EDE;3185;2857.39;3227898.83;251267.97;9132.63;159039.49;70052.96;231877.39;41554.94;58175.34;66166.15;74812.64;6983.63;34131.66;0;0;1479.07;13796.91;64.8;0;6701.88
M; 0 t/m  4 jaar;EEMNES;200;183.28;175980.27;8197.46;0;10080.9;4879.67;11915.52;1105.83;2859.86;2150.77;4531.3;0;3430.43;0;0;0;289.05;7.2;0;63.85
M; 0 t/m  4 jaar;EERSEL;411;362.11;329122.87;25880.2;1102.77;19970.95;11286.81;17246.15;4524.49;7032.4;11935.54;18540.69;0;1032.16;0;0;0;1351.28;5.4;0;281.91
M; 0 t/m  4 jaar;EIJSDEN-MARGRATEN;479;426.66;617150.57;84673.84;0;23336.09;11697.77;30651.77;12219.09;6450.25;5281.36;24818.9;1618.3;5344.54;0;0;166.7;13570.72;0;0;83.63
M; 0 t/m  4 jaar;EINDHOVEN;5738;5076.22;6891958.92;478300.31;52493.51;280010.51;156023;351573.7;119035.84;93376.1;100857.98;202714.15;1950.51;53983.51;0;0;2424.82;28506.22;72.9;0;55120.65
M; 0 t/m  4 jaar;ELBURG;759;682.34;1035157.47;47994.39;3136.42;37825.79;16458.53;39625.43;41794.58;16942.67;30893.43;21330.08;6135.2;10591.12;0;0;290.31;2224.14;19.8;0;90.48
M; 0 t/m  4 jaar;EMMEN;2433;2191.65;3127212.94;213208.87;96717.16;122211.73;69453.99;218247.5;60412.11;53714.57;29356;73195.55;0;36155.52;0;0;185.22;1637.21;54.45;0;559.82
M; 0 t/m  4 jaar;ENKHUIZEN;515;459.79;718404.56;49446.91;4377.85;25275.3;11614.93;24735.88;1896.25;14403.12;11784.54;25170.97;0;16168.2;0;0;2115.88;2214.24;26.1;0;1020.22
M; 0 t/m  4 jaar;ENSCHEDE;4196;3725.51;6127673.18;436281.35;115673.84;205766.69;101641.62;310581.42;114807.66;87204.32;156237.28;166943.29;14982.69;75345.1;0;0;3374.83;9178.13;60.3;0;33038.81
M; 0 t/m  4 jaar;EPE;720;657.41;507204.47;34239.64;4673.26;36481.17;17760.79;42183.84;8792.77;17569.57;17571.13;25485.71;0;6441;0;0;1830.29;1784.99;11.25;0;38.83
M; 0 t/m  4 jaar;ERMELO;608;543.38;532772.74;58544.11;2457.49;30432.63;13571.58;41104.65;8763.01;11055.99;13222.33;34791.98;0;8977.56;0;0;159.29;462.54;15.3;0;324.83
M; 0 t/m  4 jaar;ETTEN-LEUR;1124;1006.77;1298753.33;100963.19;19479.01;55198.21;29084.2;79483.45;28000.15;23032.42;52018.31;49198.44;10159.9;10608.94;0;0;1018.42;1658.32;9.9;0;759.61
M; 0 t/m  4 jaar;GEERTRUIDENBERG;595;543.17;722974.19;46864.06;4391.78;30684.26;16403.03;33978.83;12711.95;7742.95;22649.16;30966.82;905.3;4776.09;0;0;0;2875.62;5.4;0;785.01
M; 0 t/m  4 jaar;GELDROP-MIERLO;1030;920.54;1569634.81;154549.44;17371.53;51555.03;30716.82;60903.33;22218.72;17043.25;23689.88;47682.72;5057.91;10300.92;0;0;711.33;7861.43;8.1;0;1273.91
M; 0 t/m  4 jaar;GEMERT-BAKEL;781;701.69;951661.72;85284.71;9099.39;39023.31;18399.64;43781.59;8516.95;17038.58;15419.81;30134.91;1379.7;7232.51;0;0;1114.79;638.06;2.7;0;214.39
M; 0 t/m  4 jaar;GENNEP;423;375.17;395593.93;29404.18;58882.06;21023.79;9044.76;27362.58;3486.46;10001.83;27239.29;11088.56;175.56;1444.67;0;0;0;57.04;5.4;0;447.99
M; 0 t/m  4 jaar;GILZE EN RIJEN;640;574.12;1106910.12;46656.38;14422.19;32054.4;16756.59;32226.65;17770.74;14152.61;13730.3;20859.74;3503.92;6428.11;0;0;0;3394.29;6.3;0;347.17
M; 0 t/m  4 jaar;GOEREE-OVERFLAKKEE;1230;1089.67;1317307.6;114927;33683.81;61186.68;29514.95;76249.38;18250.5;26481.98;25590.15;53313.57;14058.59;20607.15;0;0;0;4579.77;12.15;0;534.97
M; 0 t/m  4 jaar;GOES;852;765.11;733861.31;85522.29;13614.84;42398.22;19624.73;53372.11;22467.94;14086.36;30899.31;28624.83;989.62;3608.21;0;0;444.71;2876.63;9;0;1085.88
M; 0 t/m  4 jaar;GOIRLE;651;589.7;528881.62;54909.31;8556.19;32687.46;17998.55;33577.23;8425.35;12209.26;11968.71;21563.94;6;13885.22;0;0;825.9;3426.66;2.25;0;174.68
M; 0 t/m  4 jaar;GOOISE MEREN;1574;1422.67;2311303.76;125779.81;8633.75;78818.86;39693.95;103714.59;49476.67;25792.38;34102.33;27486.79;71.4;22754.99;0;0;4114.87;15353.12;37.35;0;1639.04
M; 0 t/m  4 jaar;GORINCHEM;998;899.47;904605.97;81956.18;5453.18;49060.38;24060.74;69953.53;42436.24;25178.41;31234.02;25438.74;3941.23;13891.54;0;0;1176.04;1190.78;18.45;0;701.02
M; 0 t/m  4 jaar;GOUDA;2080;1891.07;3329261.98;263104.59;27059.41;105307.31;59801.91;137661.96;47196.94;36560.77;64054.32;91591.35;654.45;32014.72;0;0;0;317435.2;36.9;0;16509.03
M; 0 t/m  4 jaar;GRAVE;316;289.63;275121;30129.13;2771.63;16248.66;9107.3;21053.48;2204.72;7255.79;24107.29;29339.12;2496.08;3467.52;0;0;0;87.37;9.9;0;144.84
M; 0 t/m  4 jaar;GRONINGEN;5274;4684.21;5742854.65;401106.57;229102.59;256691.03;119899.83;381393.81;109010.02;78544.38;133037.62;95566.38;1677.75;81893.41;0;0;4600.85;21810.7;498.15;0;17200.62
M; 0 t/m  4 jaar;GULPEN-WITTEM;258;235.12;207823.83;21889.33;2528.1;12644.17;6860.14;13117.87;1850.17;3900.6;2721.74;7963.96;3998.8;3598.48;0;0;0;696.92;0;0;419.48
M; 0 t/m  4 jaar;HAAKSBERGEN;570;520.61;873678.86;54344.72;3294.69;29182.7;14758.78;33823.5;5731.41;10420.76;17099.73;21109.66;0;16010.76;0;0;0;2494.09;8.55;0;435.61
M; 0 t/m  4 jaar;HAAREN;254;232.2;323421.14;19797.44;6456.24;12959.07;7554.36;9108.23;3571.42;7444.09;8660.55;12806.81;2045.79;2608.78;0;0;394.79;582.82;1.8;0;94.95
M; 0 t/m  4 jaar;HAARLEM;4976;4463.57;4964648.3;334020.07;34597.44;247540.81;123927.15;375661.56;135805.53;120804.15;120155.82;116755.81;10276.74;88664.9;0;0;4512.17;19267.29;109.8;0;38801.9
M; 0 t/m  4 jaar;HAARLEMMERMEER;3944;3594.05;3914972.42;296321.2;71014.43;200175.88;100267.68;307655.09;106463.39;97948.46;82937.73;102465.62;4994.73;57333.11;0;0;7514.26;13595.07;50.85;0;46886.96
M; 0 t/m  4 jaar;HALDERBERGE;681;617.55;703671.98;88490.87;20789.85;34299.45;18629.51;48242.03;11349.46;13678.97;26594.78;32838.4;574.53;7907.7;0;0;336;4080.5;6.75;0;831.68
M; 0 t/m  4 jaar;HARDENBERG;1715;1547.81;1679225.75;128787.08;5518.01;86082.32;44819.98;117572.15;51274.58;28802.62;70101.25;99716.47;7137.84;13398.89;0;0;4690.37;406.14;37.35;0;10700.5
M; 0 t/m  4 jaar;HARDERWIJK;1471;1331.55;1796570.52;198924.21;19454.46;74101.92;36406.27;113620.89;33138.62;27970.31;43992.21;59934.57;8486.95;35647.14;0;0;1493.94;5013.8;49.95;0;3082.53
