GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V; 0 t/m  4 jaar;WAALWIJK;1119;998.62;1218851.26;92204.09;4083.65;55661.96;31564.43;49492.58;14508.32;15665.3;20631.81;26797.2;12325.71;13984.27;0;0;451.47;1553.17;1.8;0;1456.62
V; 0 t/m  4 jaar;WADDINXVEEN;697;611.27;396457.62;50243.27;2756.88;33529.49;16237.76;36461;5963.11;10168.94;6032.56;8279.12;0;3966.74;0;0;0;2190.6;9.9;0;3421.59
V; 0 t/m  4 jaar;WAGENINGEN;713;645.43;724823.73;44701.09;0;35700.52;15574.45;47731.05;11018.88;13240.81;9330.89;13264.29;0;7002.52;0;0;0;524.09;18;0;202.2
V; 0 t/m  4 jaar;WASSENAAR;516;460.98;663270.76;62834.61;0;24504.94;12242.86;24811.86;9887.21;8229.91;14554.79;8366.71;264.22;9295.21;0;0;0;2226.29;10.35;0;1264.04
V; 0 t/m  4 jaar;WATERLAND;381;344.05;289170.55;28252.68;133.07;19070.94;8824.59;24953.91;28852.95;10434.82;8487.52;6160.68;5976.74;5351.09;0;0;0;414.87;10.8;0;5454.22
V; 0 t/m  4 jaar;WEERT;1117;989.51;1211237.52;110199.08;3975.09;54529.09;27369.43;60311.28;25712.57;16093.45;17542.88;28539.79;23264.63;19788.75;0;0;992.68;2355.39;11.7;0;1510.84
V; 0 t/m  4 jaar;WEESP;508;455.8;363722.17;34959.58;0;25374.16;12759.71;28903.58;13543.56;9354.49;5298.88;4222.28;1707.6;2967.71;0;0;0;867.01;17.55;0;1029.88
V; 0 t/m  4 jaar;WEST BETUWE;1273;1155.7;1862777.72;89245.24;2533.49;63526.1;29629.08;79898.84;41100.05;28393.12;34648.69;33849.45;3757.93;11702.01;0;35.02;726.8;2110.71;22.95;0;1697.98
V; 0 t/m  4 jaar;WEST MAAS EN WAAL;420;374.8;217578.17;14777.88;1777.87;20600.1;9346.67;25574.4;9981.59;10245.5;5225.47;8980.68;0;0;0;0;0;1243.2;4.5;0;503.01
V; 0 t/m  4 jaar;WESTERKWARTIER;1625;1474.4;1887564.84;117327.11;27079.34;82010.94;36489.12;97268.91;45989.28;18415.17;40052.45;19699.09;3712.81;19972.98;0;0;1018.42;56043.17;330.75;0;1842.1
V; 0 t/m  4 jaar;WESTERVELD;351;312.41;507904.46;21484.66;4347.46;17429.79;8193.83;18590.29;1145.85;5789.53;10465.93;5028.67;0;1443.09;0;0;1113.36;1988.96;41.4;0;2827.25
V; 0 t/m  4 jaar;WESTERVOORT;352;313.8;213275.87;22807.27;0;17308.02;8711.35;30404.74;2170.73;11151.18;8159.2;9999.78;0;716.68;0;0;0;220.92;8.55;0;268.47
V; 0 t/m  4 jaar;WESTERWOLDE;475;432.34;390279.32;22852.11;28967.9;23886.89;11214.68;28983;2596.99;8256.2;14480.41;10759.16;0;5502.5;0;0;0;31.95;10.8;0;177.87
V; 0 t/m  4 jaar;WESTLAND;2591;2348.67;3466378.1;283932.58;27992.31;131219.73;62598.92;145037.26;41575.74;42369.3;77142.14;45037.65;4423.84;39092.65;0;0;1453.6;5500.82;18.9;0;1799.5
V; 0 t/m  4 jaar;WESTSTELLINGWERF;590;532.53;491655.56;33486.96;7568.36;29239.04;14219.94;39831.15;6943.71;8649.11;6731.74;16194.73;0;11105.42;0;0;431.1;1362.08;400.5;0;94.57
V; 0 t/m  4 jaar;WESTVOORNE;212;187.91;170999.14;14184.67;0;10256.22;5548.53;9584.4;962.72;2905.91;7893.48;2292.68;0;2534.28;0;0;0;121.96;5.4;0;115.52
V; 0 t/m  4 jaar;WIERDEN;670;601.06;512165.96;42476.09;4328.36;33518.18;15532.39;44103.44;12504.63;11161.13;21929.38;12949.78;7665;10835.18;0;0;0;819.11;19.8;0;208.6
V; 0 t/m  4 jaar;WIJCHEN;946;864.06;832236.7;48760.87;7204.02;48844.49;23458.74;59736.86;30210.63;26425.27;22531.23;25314.96;0;16347.14;0;0;0;6097.75;14.4;0;1240.95
V; 0 t/m  4 jaar;WIJDEMEREN;478;435.32;302820.53;48128.05;4246.69;24456.71;12396.11;27069.78;2023.02;9162.7;5480.26;4823.38;0;4400.08;0;0;0;692.29;3.6;0;917.73
V; 0 t/m  4 jaar;WIJK BIJ DUURSTEDE;524;469.46;401126.34;46411.67;4372.33;26093.46;13174.93;32883.59;3256.92;8803.62;12535.47;9338.67;0;4658.02;0;0;0;450.4;6.3;0;886.74
V; 0 t/m  4 jaar;WINTERSWIJK;610;552.81;967684.9;53314.6;2239.06;31031.18;15216.75;48042.4;16805.47;10050;9985.28;22200.39;4712.47;8832.95;0;0;0;924.85;5.4;0;437.56
V; 0 t/m  4 jaar;WOENSDRECHT;415;365.6;327224.87;28277.71;3044.61;20234.85;10846.32;26432.69;7416.12;7212.33;2931.47;6563.17;672.18;4285.61;0;0;174.11;2730.85;5.85;0;900.02
V; 0 t/m  4 jaar;WOERDEN;1426;1299.51;1155468.39;78039.68;14861.9;73488.3;33665.39;75429.93;35449.62;38893.02;31301.64;16712.79;8903.23;9315.08;0;0;0;2014.63;30.6;0;1368.81
V; 0 t/m  4 jaar;WORMERLAND;282;251.37;321610.14;15972.26;0;13941.2;7706.9;13580.13;1319.06;5217.43;3037.95;4331.02;0;3316.13;0;0;0;168.62;0;0;136.32
V; 0 t/m  4 jaar;WOUDENBERG;381;343.83;245152.92;29088.57;0;19350.16;6967.96;17958.61;5580.53;4703.8;6934.87;9479.23;0;2522.07;0;0;0;91.28;14.4;0;110.21
V; 0 t/m  4 jaar;ZAANSTAD;4008;3603.73;4179069.69;234651.79;22189.98;201030.59;100208.75;287536.35;70814.97;93942.11;44499.25;65656.07;6133.03;66503.03;0;0;558.26;9547.49;67.95;0;27375.84
V; 0 t/m  4 jaar;ZALTBOMMEL;760;683.78;552635.69;59006.42;588.23;38122.67;20480.49;38673.03;13620.25;22021.97;22779.57;19525.77;0;11639.12;0;0;408.41;1662.89;8.55;0;475.83
V; 0 t/m  4 jaar;ZANDVOORT;313;281.19;230582.45;21493.55;187.83;15515.82;8126.31;21347.18;7009.53;6151.3;3548.64;4855.43;135.57;5340.77;0;0;0;824.62;9;0;3652.09
V; 0 t/m  4 jaar;ZEEWOLDE;607;543.93;611345.14;49151.6;6330.89;29995.5;12935.94;33814.41;8050.87;6326.63;13524.86;16441.49;13897.98;6462.44;0;0;1921.56;2568.8;17.55;0;326.79
V; 0 t/m  4 jaar;ZEIST;1639;1476.34;1309637.75;122281.81;3674.08;81064.55;34293.95;117210.64;18474.56;39266.56;29408.92;24624.94;17.15;15273.07;0;0;1712.73;3727.17;24.3;0;7769.11
V; 0 t/m  4 jaar;ZEVENAAR;1005;901.72;728031.21;61449.1;61406.94;49149.73;24014.45;71733.43;27269.37;20222.85;19316.38;24264.64;13084.77;5789.99;0;0;166.7;1400.89;16.65;0;1765.16
V; 0 t/m  4 jaar;ZOETERMEER;3414;3067.16;3177423.68;292288.57;17139;170331.93;88485.86;194556.25;52332.47;80010.64;63424.13;62015.02;12309.33;33406.03;0;0;1573.53;12247.39;46.8;0;73756.98
V; 0 t/m  4 jaar;ZOETERWOUDE;179;157.06;131502.75;7126.74;564.41;8648.8;4760.49;13083.61;1200.54;3661.67;2398.01;305.36;0;1684.75;0;0;0;86.61;0;0;399.7
V; 0 t/m  4 jaar;ZUIDPLAS;1083;989.74;952546.61;78284.46;21089.21;55279.41;26498.18;61269.17;20076.4;23141.81;17158.27;20331.11;381.4;15199.29;0;0;1091.17;2404.98;9;0;1594.14
V; 0 t/m  4 jaar;ZUNDERT;412;372.85;271741.66;27332.41;0;20590.38;10414.23;20596.52;6312.2;8305.2;13382.47;7216.21;3845.38;6207.26;0;0;0;2482.29;0;0;135.08
V; 0 t/m  4 jaar;ZUTPHEN;1055;949.84;847566.51;98798.4;13723.94;52627.16;24934.64;77788.96;19913.6;13295.92;17842.08;32173.96;44.4;5073.88;0;0;2017.66;7167.24;27.9;0;391.88
V; 0 t/m  4 jaar;ZWARTEWATERLAND;703;630.86;414307.81;38418.5;7003.04;35325.6;17198.83;37463.22;15444.37;16510.52;20997.8;13331.73;0;4398.1;0;0;0;1905.92;35.1;0;269.28
V; 0 t/m  4 jaar;ZWIJNDRECHT;1159;1036.47;1358848.71;102057.48;31379.73;56848.53;28606.81;63666.94;28644.25;19334.62;28583.63;31734.56;1456.48;18315.61;0;0;0;3825.62;10.35;0;2025.96
V; 0 t/m  4 jaar;ZWOLLE;3971;3580.25;3479308.94;127786.3;46107.05;197783.34;79175.57;249311.61;76005.24;64256.31;70280.45;82474.26;352.57;24263.29;0;0;1168.09;5688.46;139.05;0;21261.14
V; 5 t/m  9 jaar;AA EN HUNZE;618;616.4;156018.3;16241.67;67914.02;35852.94;10157.24;27207.07;13518.2;53524.66;7346.14;18681.08;411.06;1369.27;0;0;2057.37;2508.45;29.7;0;108.97
V; 5 t/m  9 jaar;AALSMEER;1026;1019.89;286424.75;40113.62;66729.23;59086.1;20206.28;44242.4;38774.66;119709.15;27703.5;33938.48;4423.68;1633.17;0;0;8004.18;2811.98;14.4;0;18627.89
V; 5 t/m  9 jaar;AALTEN;777;773.9;229138.96;33558.07;41420.61;45028.03;15263.67;37031.08;24153.54;99099.88;27859.79;50477.5;0;976.81;0;0;5603.66;317.8;4.95;0;453.45
V; 5 t/m  9 jaar;ACHTKARSPELEN;867;866.33;291783.79;34252.96;64162.58;50521.38;15814.94;35777.94;25092.37;92778.73;14939.85;46592.56;0;1516.3;0;0;3734.89;277.01;1193.4;0;1762.86
V; 5 t/m  9 jaar;ALBLASSERDAM;608;605.97;150935.65;24268.71;19586.95;35268.54;13919.66;18534.5;10450.51;67548.23;7685.55;15729.89;0;0;0;0;6469.9;948.84;7.2;0;399.58
V; 5 t/m  9 jaar;ALBRANDSWAARD;811;807.07;396368.2;38351.51;95342.06;46862.42;18467.13;29585.32;33063.94;88218.59;13126.91;70669.26;1234.52;3485.38;0;0;7802.96;1961.56;12.6;0;716.21
V; 5 t/m  9 jaar;ALKMAAR;2695;2679.07;729091.91;204419.32;269336.63;155925.91;49662.4;70438.53;74548.99;393155.81;84671.74;98548.27;0;10468.44;0;0;17581.88;3486;76.5;0;5532.91
V; 5 t/m  9 jaar;ALMELO;2048;2042.96;738162.75;136042.77;374693.35;119457.62;44003.08;112101.64;47776.38;253650.48;71460.32;133196.33;4229.14;5881.46;0;0;20217.78;1228.58;50.4;0;79.67
V; 5 t/m  9 jaar;ALMERE;6480;6438.16;2553804.67;420280.37;638564.81;373812.19;147910.44;314869.91;204296.7;992928.15;116273.2;369776.72;4046.39;22170.64;0;0;117443;11643.3;231.3;0;175532.68
V; 5 t/m  9 jaar;ALPHEN AAN DEN RIJN;3092;3077.77;1103088.59;146100.49;349965.48;179070.32;64183.76;161319.71;50191.7;312381.94;39513.14;96543.6;5022.12;15728.08;0;0;20914.28;4779.97;54;0;54382.62
V; 5 t/m  9 jaar;ALPHEN-CHAAM;232;230.54;86332.48;4603.72;36469.09;13236.66;4382.74;7152.52;777.95;19631.3;1598.56;9193.81;0;1273.44;0;0;1504.99;219.84;1.8;0;0
V; 5 t/m  9 jaar;ALTENA;1594;1590.46;414574.42;52394;100498.62;92247.54;29211.11;44578.27;57959.06;195099.73;30863.44;91001.74;346.06;6452.07;0;0;14797.12;2112.91;35.1;0;723.78
V; 5 t/m  9 jaar;AMELAND;116;115.68;9474.75;3368.59;1896.08;6647.09;1892.05;5501.12;47.88;10434.81;944.95;2351.77;0;0;0;0;0;0;139.5;0;95.6
V; 5 t/m  9 jaar;AMERSFOORT;4947;4929.42;1371905.17;341368.82;434227.53;287458.18;94092.41;253967.97;94284.4;594541.83;73838.58;318949.57;429.92;10890.07;0;0;96631.29;7762.12;133.65;0;16897.58
V; 5 t/m  9 jaar;AMSTELVEEN;2279;2247.65;600693.71;100874.62;192106.23;129678.54;38494.41;92775.92;71468.89;351427.81;60081.98;75814.24;0;9225.16;0;0;14944.61;7342.15;28.8;0;31717.36
V; 5 t/m  9 jaar;AMSTERDAM;20253;20009.93;6638746.59;912740.57;1473346.18;1187601.58;389879.31;816665.07;591628.24;3692005.91;315309.9;1142627.74;7321.42;86853.89;0;0;133356.8;97129.84;400.95;0;173879.46
V; 5 t/m  9 jaar;APELDOORN;4141;4120.19;1419106.06;167067.5;271527.96;238525.07;73476.66;171336.19;166701.25;443823.37;71383.86;246555.22;8164.03;10430.36;0;0;51386.46;10761.88;87.75;0;9659.71
V; 5 t/m  9 jaar;APPINGEDAM;287;286.25;72895.04;9941.65;36828.11;16684.62;5693.38;14449.25;12921.99;22743.36;4501.43;9144.68;0;746.84;0;0;166.7;52.4;9;0;5339.12
V; 5 t/m  9 jaar;ARNHEM;4156;4137.11;1757839.02;645226.79;378209.72;242484.49;88884.83;231965.96;103726.09;552398.25;156479.83;358914.67;3683.91;19238.29;0;0;33764.23;8541.16;117.45;0;26409.18
V; 5 t/m  9 jaar;ASSEN;1975;1968.47;755437.55;126033.57;271257.3;114350.02;35404.05;91975.39;105101.41;204927.39;30730.65;77502.52;0;5353.28;0;0;16647.9;1529.87;149.4;0;17320.41
V; 5 t/m  9 jaar;ASTEN;436;433.71;94942.99;10129.16;51942.86;25103.24;9264.86;11675.53;799.21;52771.78;16568.82;16222.13;328.7;0;0;0;0;855.04;7.2;0;69.1
V; 5 t/m  9 jaar;BAARLE-NASSAU;138;136.17;50589.85;4751.26;14518.92;7801.74;2896.61;4504.29;20478.06;15529.04;1677.67;4703.73;183.6;0;0;0;0;464.71;1.8;0;3.99
V; 5 t/m  9 jaar;BAARN;637;633.48;216338.02;18470.16;53192.56;36580.24;13386.5;28944.75;17100.36;79558.22;9301.27;19241.11;3341.52;0;0;0;16246.91;1602.62;18;0;112.59
V; 5 t/m  9 jaar;BARENDRECHT;1596;1587.08;386204.4;76180.91;227195.06;92070.65;32922.82;51162.69;26010.8;188315.6;27915.13;151759.17;0;4339.32;0;0;13964.72;5771.08;37.35;0;1759.62
V; 5 t/m  9 jaar;BARNEVELD;1836;1830.5;555334.82;59900.14;133709.85;106576.09;31697.15;74337.89;30388.98;258869.95;33172.3;64539.1;2412.21;4128.85;0;0;4079.46;1724.32;37.8;0;2644.49
V; 5 t/m  9 jaar;BEEK;347;346.04;85128.43;8924.02;48313.86;20191.02;8386.37;13150.49;16840.02;42497.23;7597.79;48752.48;1440.36;682.75;0;0;1804.81;11217.33;4.5;0;63.3
V; 5 t/m  9 jaar;BEEKDAELEN;751;745.47;486802.06;25323.98;78498.99;43274.82;16922.41;25824.69;27463.51;82306.43;21274.66;54648.72;3767.11;0;0;0;9792.99;1990.27;1.8;0;492.72
V; 5 t/m  9 jaar;BEEMSTER;202;202;48571.12;7694.33;8228.49;11804.88;3288.36;10916.01;3617.54;27062.4;7350.39;1682.26;0;0;0;0;408.41;45;3.6;0;0
V; 5 t/m  9 jaar;BEESEL;337;336.19;116949.3;15364.42;56993.93;19288.46;7169.17;14520.51;8094.88;33986.3;9483.79;21421.95;0;1251.83;0;0;1139.53;2891.44;3.6;0;71.6
V; 5 t/m  9 jaar;BERG EN DAL;739;731.7;167767.58;20035.95;65597.83;42427.44;14048.93;29216.69;17627.51;81507.45;12330.67;40093.28;0;2093.49;0;0;9471.73;936.36;9;0;1266.04
V; 5 t/m  9 jaar;BERGEIJK;457;453.82;130576.21;20735.25;15478.69;26084.61;9616.65;10508.91;12801.87;46427.35;9912.92;25190.17;283.75;694.06;0;0;6602.83;4696.33;3.6;0;814.64
V; 5 t/m  9 jaar;BERGEN LB;324;324;60208.28;13976.88;28374.98;18846.9;6472.86;10821.21;7515.38;33069.29;7886.96;16267.04;0;0;0;0;2158.64;101.85;1.35;0;456.32
V; 5 t/m  9 jaar;BERGEN NH;667;662.31;148713.52;37541.74;42972.36;38002.3;9843.14;13012.84;16716.7;87366.53;14900.13;13512.37;0;3780.43;0;0;2863.98;1658.76;28.8;0;1458.31
V; 5 t/m  9 jaar;BERGEN OP ZOOM;1631;1619.61;543458.38;80091.14;123826.69;94445.69;30894.65;66254.28;40372.57;163020.13;22325.65;120183.97;0;6318.78;0;0;14313.63;18764.65;5.4;0;5296.07
V; 5 t/m  9 jaar;BERKELLAND;1213;1211.35;316820.88;43515.95;91314.58;70408.87;21653.09;59819.9;25961.91;132628.87;30562.52;100566.14;0;1418.28;0;0;12742.96;2161.17;6.3;0;307.66
V; 5 t/m  9 jaar;BERNHEZE;852;847.05;290947.84;32388.54;97709.26;49235.24;17588.85;30429.74;17853.03;88737.97;22744.16;53235.56;0;2165.22;0;0;14034.12;1952.62;8.55;0;1759.02
V; 5 t/m  9 jaar;BEST;769;766.48;185817;19401.45;60527.29;44662.31;15304.46;18702.26;22934.47;82145.86;13820.03;53019.07;1594.7;0;0;0;8747.16;1391.41;15.75;0;1393.44
V; 5 t/m  9 jaar;BEUNINGEN;617;615.37;189323.35;25822.82;120747.83;35721.45;14581.18;23788.17;10425.83;107153.15;20944.86;36553.59;0;2070.87;0;0;20766.61;3778.1;16.2;0;869.73
V; 5 t/m  9 jaar;BEVERWIJK;1134;1127.51;308748.85;38500.58;97197.34;65040.96;21643.06;49054.18;47489.75;144983.45;36401.65;35152.95;0;4709.12;0;0;5200.94;2492.91;9;0;5290.02
V; 5 t/m  9 jaar;BLADEL;487;487;155478.67;18171.82;29678.81;28387.88;10624.68;14313.33;9178.26;52342.53;4247.71;32997.39;0;761.92;0;0;7260.35;410.42;2.25;0;815.3
V; 5 t/m  9 jaar;BLARICUM;206;205.7;56052.37;4220.65;16919.1;11892.54;3851.34;10225;3668.77;22491.82;4199.8;9917.6;0;0;0;0;2169.2;613.97;3.6;0;431.7
V; 5 t/m  9 jaar;BLOEMENDAAL;640;632.98;206241.83;18529.06;27657.64;36729.08;10967.93;25112.41;1468.1;68890.5;13279.12;14120.32;0;1403.2;0;0;4749.01;1266.75;12.6;0;883.77
V; 5 t/m  9 jaar;BODEGRAVEN-REEUWIJK;970;965.08;360198;64062.4;112464.87;56264.28;18420.31;33974.9;50823.07;109388.98;19738.74;27052.74;0;810.93;0;0;10641.97;3252.65;20.7;0;321.47
