GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_SPECIALISTISCHE_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_MDZ;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_LANGDURIGE_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_EERSTELIJNSVERBLIJF;KOSTEN_VERPLEGING_EN_VERZORGING;KOSTEN_OVERIG
M;30 t/m 34 jaar;OLST-WIJHE;440;435.86;217901.97;86375.91;138513.38;26111.02;10618.95;2785.97;24684.55;6734.11;3681.53;2260.27;609.73;0;4229.64;0;0;2696.38;15645.44;325.07;7.52;0;0;6077.3;509.66
M;30 t/m 34 jaar;OMMEN;455;448.02;304164.38;37401.31;100288.63;26305.29;6975.66;1154.71;17932.04;8741.23;1179.38;2718.25;1005.43;148.9;1519.99;0;0;7013.27;89512.6;149.47;7.52;0;0;1047.02;126.9
M;30 t/m 34 jaar;OOST GELRE;767;761.96;307767.24;91080.64;94363.64;47019.95;13059.17;7640.88;31922.02;19183.63;5968.14;3686;818.08;169;10496.89;0;0;12187.92;0;5736.51;10.81;0;0;579.12;188.7
M;30 t/m 34 jaar;OOSTERHOUT;1487;1457.47;875481.83;212327.23;412688.24;85875.23;30356.88;8476.93;40983.25;53264.97;10243.88;15599.55;1559.38;2526.2;22429.76;0;0;6534.08;0;5886.8;30.08;0;0;7469.06;51117.82
M;30 t/m 34 jaar;OOSTSTELLINGWERF;653;646.68;196777.38;70550.54;298892.74;38434.17;15064.31;5742.06;33733.33;21390.49;6073.98;3254.65;435;0;4938;0;0;5327.49;0;618.3;516.53;0;0;2901.57;900.77
M;30 t/m 34 jaar;OOSTZAAN;210;208.69;47626.5;33827.52;40377.16;12926.01;4333.86;823.5;8392.78;8500.68;0;0;288.72;0;0;0;0;3145.8;0;0;0;0;0;0;70.61
M;30 t/m 34 jaar;OPMEER;327;319.03;95901.99;46847.2;61718.83;18552.81;6438.92;168.6;8812.8;1875.87;340.77;0;551.7;0;806.11;0;0;2564.64;0;21.5;14.57;0;0;2590.8;2513.23
M;30 t/m 34 jaar;OPSTERLAND;706;701.22;280953.97;78753.62;223728.46;42502.24;16002.17;1208.26;36135.2;11357.23;6938.44;1925.48;935.75;1222.62;5486.38;0;0;11327.08;0;4249.13;695.13;0;0;14404.03;1002.58
M;30 t/m 34 jaar;OSS;2766;2714.54;1604916.87;238203.86;792700.4;161577.71;68614.59;4531.9;110151.1;77106.85;16303.79;23197.65;9332.85;5456.41;39487.07;0;0;57231.52;0;4858.6;44.18;0;0;16614.97;5797.76
M;30 t/m 34 jaar;OUDE IJSSELSTREEK;871;862.22;426055.31;60142.76;175009.58;52688.73;21811.32;2470.68;40685.78;22175.9;4121.71;6050.2;1831.67;125.8;11338.76;0;0;14601.1;0;2460.37;9.4;0;0;5406.11;94.81
M;30 t/m 34 jaar;OUDER-AMSTEL;315;306.86;108503.17;39964.31;30492.04;17742.67;5892.4;3879.31;12473.49;9116.71;87.31;0;552.75;0;3559.55;0;0;2503.35;0;651.76;9.4;0;0;0;6061.52
M;30 t/m 34 jaar;OUDEWATER;273;270.83;123070.9;14207.84;131535.14;16566.9;5019.73;519.54;8293.37;3435.36;255.41;2065;625.5;0;491.82;0;0;6852.6;0;0;3.76;0;0;814.58;0
M;30 t/m 34 jaar;OVERBETUWE;1141;1137.55;653543.12;113576.91;223634.61;68504.03;26905.4;12930.51;50058.24;17830.12;3606.93;7179.66;2416.38;3228;13389.68;0;0;20469.64;0;6527.53;13.16;0;0;201.6;148.38
M;30 t/m 34 jaar;PAPENDRECHT;851;843.88;421626.98;84633.43;250954.14;51108.3;17585.73;1564.02;22319.24;19297.93;6819.69;2301.7;587.62;784.67;10758.01;0;0;6500.23;0;4282.29;16.45;0;0;0;2171.52
M;30 t/m 34 jaar;PEEL EN MAAS;1179;1165.08;689175.1;75973.24;238573.1;69069.78;29330.44;34753.87;32853.51;24831.1;23362.09;10635.25;4620.42;11207.22;17169.16;0;0;13193.89;0;9060.85;1.88;0;0;10172.8;7687.93
M;30 t/m 34 jaar;PEKELA;298;293.61;124781.97;55552.06;39196.95;17615.01;7378.67;5786.5;13681.97;27970.32;3069.26;0;736.08;0;7091.25;0;0;5825.07;0;38.22;9.4;0;0;60302.31;0
M;30 t/m 34 jaar;PIJNACKER-NOOTDORP;1347;1331.82;751014.65;115527.26;82480.74;78761.09;5538.36;6526.4;97072.02;45988.63;4793.76;10122.9;4934.1;3422.09;14682.72;0;0;14324.02;0;2508.18;17.86;0;0;38305.12;1831.3
M;30 t/m 34 jaar;PURMEREND;2268;2232.33;1340459.89;381892.53;568020.11;134521.52;58813.71;8814.07;103362.77;80003;10777.17;19089.25;3953.05;3154.98;35033.96;0;0;31671.8;0;12330.23;40.89;0;1962.72;127228.26;1345.27
M;30 t/m 34 jaar;PUTTEN;673;663.51;280480.14;43920.63;113259.81;40294.14;14066.44;7321.4;30006.3;13798.7;3933.24;7363.75;1973.56;700.52;1392.76;0;0;4782.6;29127.6;1483.06;12.69;0;0;0;875.95
M;30 t/m 34 jaar;RAALTE;975;967.01;427419.79;74714.81;237378.49;59240.81;18496.11;4917.87;46958.31;25940.71;2191.54;6634;1456.25;5141.28;11374.46;0;0;15407.63;0;2800.06;18.8;0;0;0;0
M;30 t/m 34 jaar;REIMERSWAAL;741;718.39;392345.24;43546.83;43036.26;42606.48;12003.23;4307.27;22729.08;17233.02;4339.31;1966.45;565.14;799;8988.67;0;0;13714.96;0;127130.24;5.64;0;0;793.32;709.5
M;30 t/m 34 jaar;RENKUM;572;567.72;224369.91;81658.27;356111.62;33792.73;14691.75;3015.38;25722.56;16092.06;980.09;386.15;730.16;1187.52;8644.51;0;0;12626.12;598880.85;278.78;15.04;0;0;0;0
M;30 t/m 34 jaar;RENSWOUDE;157;156.35;73504.67;7156.09;1167.97;9428.9;3308.1;417.49;6867.78;6923.57;4608.49;0;124;416.5;1483.9;0;0;0;0;0;0;0;0;0;0
M;30 t/m 34 jaar;REUSEL-DE MIERDEN;426;421.61;248431.82;42967.38;88101.75;24773.55;8547.94;1178.41;10855.57;17496.22;3113.21;12773.4;1029.5;1884.8;9148.01;0;0;2027.32;0;4571.52;7.52;0;0;65246.19;11312.83
M;30 t/m 34 jaar;RHEDEN;1057;1038.58;567199.79;271134.48;461523.23;61609.86;25898.25;10967.7;52915.18;28299.19;7908.51;7929.2;2237.67;5721.8;18664.62;0;0;28406.25;47061.14;1402.11;15.04;0;0;1579.41;447.05
M;30 t/m 34 jaar;RHENEN;515;508.72;236508.03;33804.15;126728.17;30294.05;10945.26;1490.5;20695.07;44940.51;79.07;4698.3;1033.98;1296.01;5169.59;0;0;7753.33;0;2173.35;9.4;0;0;19357.11;352.3
M;30 t/m 34 jaar;RIDDERKERK;1289;1276.54;573364.49;104117.39;344854.44;77977.73;29657.11;7740.34;51546.59;44596.46;7929.5;6686.4;1452.16;901;13941.75;0;0;13384.76;0;4798.7;3.76;0;0;24167.55;3017.72
M;30 t/m 34 jaar;RIJSSEN-HOLTEN;1143;1136.89;613553.43;255293.14;173213.59;70038.03;25269.36;12496.78;49698.62;14978.42;4003.02;4068.47;2560.63;3487.28;8663.73;0;0;21001.95;0;1468.1;18.8;0;0;9408.39;263.7
M;30 t/m 34 jaar;RIJSWIJK;1835;1801.63;1006685.74;230731.73;424049.72;92988.06;32534.17;16611.09;107539.74;52359.67;1355.09;10483.81;3489.19;1729.76;17776.9;0;0;27087.37;0;29864.44;23.03;0;0;65079.14;3387.42
