geslacht;leeftijdsklasse;gemeentenaam;aantal_bsn;aantal_verzekerdejaren;kosten_medisch_specialistische_zorg;kosten_farmacie;kosten_specialistische_ggz;kosten_huisarts_inschrijftarief;kosten_huisarts_consult;kosten_huisarts_mdz;kosten_huisarts_overig;kosten_hulpmiddelen;kosten_mondzorg;kosten_paramedische_zorg_fysiotherapie;kosten_paramedische_zorg_overig;kosten_ziekenvervoer_zittend;kosten_ziekenvervoer_liggend;kosten_kraamzorg;kosten_verloskundige_zorg;kosten_generalistische_basis_ggz;kosten_langdurige_ggz;kosten_grensoverschrijdende_zorg;kosten_eerstelijns_ondersteuning;kosten_geriatrische_revalidatiezorg;kosten_eerstelijnsverblijf;kosten_verpleging_en_verzorging;kosten_gzsp;kosten_overig
M; 0 t/m  4 jaar;ASTEN;398;351.34;654512.26;33440.21;0;22785.89;11561.57;18.16;23340.25;8205.06;7009.1;49169.03;23622.96;10412.06;8564.93;0;0;0;0;365.55;0;0;0;36592.18;0;157160.88
M; 0 t/m  4 jaar;BAARLE-NASSAU;152;140.31;185946.13;7681.55;0;9397.41;3683.14;87.08;6799.24;2851.48;8562.87;3012.06;5720.02;2171.16;2372.87;0;0;0;0;0;0;0;0;0;0;40314.16
M; 0 t/m  4 jaar;BAARN;606;557.7;595443.46;39291.9;0;36145.06;14282.47;551.68;48235.45;10800.42;10605.89;17498.2;24778.9;47.32;6748.04;0;0;0;0;319.83;0;0;0;94.95;0;57328.16
M; 0 t/m  4 jaar;BARENDRECHT;1258;1150.25;1430437.7;145076.87;0;74839.14;29391.03;2130.91;98238.3;27938.63;27301.6;31649.35;88078.62;271.71;13462.97;0;0;0;0;191.83;0;0;0;49699.18;0;83281.65
M; 0 t/m  4 jaar;BARNEVELD;2172;1951.82;2508611.5;152215.9;0;131319.56;49589.32;6486.13;138974.53;73234.6;59789.63;70527.23;86340.8;16890.77;31874.49;0;0;0;0;7901.24;0;0;0;164853.24;0;128357.46
M; 0 t/m  4 jaar;BEEK;314;277.37;312268.39;24908.19;0;18340.16;8287.38;166.66;21159.6;3314.29;3902.01;4929.89;15150.75;283.44;4842.48;0;0;0;0;22380.75;0;0;0;1888.2;0;45382.8
M; 0 t/m  4 jaar;BEEKDAELEN;717;634.25;1004138.19;73353.97;0;40695.76;20955.62;928.39;49781.44;7922;16362.25;28953.29;59490.27;3253.83;16407.78;0;0;0;0;7779;0;0;0;6862.6;0;100993.48
M; 0 t/m  4 jaar;BEESEL;291;261.04;379771.26;40400.97;0;17372.16;7392.24;1286;21493.48;2007.06;8686.12;8820.79;30372.11;8128.61;2199.44;0;0;0;0;0;0;0;0;0;0;80437.38
M; 0 t/m  4 jaar;BERG EN DAL;720;641.04;777812.8;58618.1;0;41831.54;15962.34;430.02;49414.26;12208.2;15570.43;25194.02;49750.24;0;11810.14;0;0;0;0;55.46;0;0;0;2562.97;0;48367.19
M; 0 t/m  4 jaar;BERGEIJK;421;374.74;500531.58;34320.34;0;24397.48;11380.48;1045.97;24175.69;2079.51;6752.42;10700.42;16959.3;0;4063.6;0;0;0;0;1275.86;0;0;0;0;0;1241.7
