GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_EERSTELIJNS_PSYCHOLOGISCHE_ZORG;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;25 t/m 29 jaar;ZWIJNDRECHT;1408;1394.49;1445610.83;177853.78;420184.7;77019.54;54834.41;42841.09;64337.72;6883.76;5463.08;3894.43;634.2;15379.79;294964.72;216460.05;16616.77;14636.91;17.63;0;5594.67
V;25 t/m 29 jaar;ZWOLLE;4806;4745.51;4106191.73;524551.45;2285070.25;261776.81;155344.69;236487.15;147019.58;38809.18;30873.33;17136.03;65837.69;78175.35;807989.94;690515.97;50172.58;24122.08;207.26;0;25672.76
V;30 t/m 34 jaar;AA EN HUNZE;450;448.61;618727.75;80514.2;228509.65;25069.07;15857.8;20329.13;38791.7;2088.31;8177.3;1594;354.32;19933.49;106360.33;78712.93;7723.1;6597.31;25.8;0;855.59
V;30 t/m 34 jaar;AALSMEER;851;842.67;811978.33;111152.61;92230.65;45998.47;32182.68;41142.16;20024.78;933.01;2688.55;2906.99;0;11663.04;233310.43;160194.71;6229.76;12347.72;9.89;0;10310.34
V;30 t/m 34 jaar;AALTEN;667;666.61;610233.6;97330.65;122951.05;37532.08;27001.85;28822.41;25003.79;2638.98;8567.21;3718.3;1208.89;5936.16;183604.37;128392.37;3393.75;915.32;0;0;2148.29
V;30 t/m 34 jaar;ACHTKARSPELEN;767;765.7;821214.91;123479.02;156740.84;43025.06;28885.34;30426.69;21992.02;828.09;3113.66;2383.46;5702.15;21257.77;183951.84;125662.18;7283;2720.63;970.08;0;2836.65
V;30 t/m 34 jaar;ALBLASSERDAM;559;556.69;829533.51;113117.85;113955.31;31150.43;22044.16;15009.39;27640.85;1889.69;5657.68;804.76;766.58;12548.62;129711.74;100870.58;3593.6;29612.37;1.72;0;4131.96
V;30 t/m 34 jaar;ALBRANDSWAARD;715;709.65;933385.34;132154.34;275284.93;39786.22;30667.46;27900.22;16358.32;924.26;4410.55;1998.31;14236.36;12643.6;166215.61;107120.63;3001.15;2684.03;3.44;39303.02;4288.69
V;30 t/m 34 jaar;ALKMAAR;3439;3404.88;3439246.28;483329.85;747659;190284.92;125273.92;102036.99;89240.48;7975.1;26887.88;10494.72;725.66;46319.97;775116.09;568175.12;72624.55;23822.47;73.1;0;33959.75
V;30 t/m 34 jaar;ALMELO;2202;2185.56;2726611.1;439107.28;874554.98;123983.57;99558.38;109243;111558.03;16449.96;35035.88;10436.57;5837.97;39661.08;465922.03;348758.85;12886.92;24854.19;30.96;0;4552.19
V;30 t/m 34 jaar;ALMERE;6943;6862.57;8580025.61;1109401.46;1448993.13;384120.78;297196.83;341101.4;177579.97;26390.87;37243.43;22290.89;23404.9;117272.2;1209288.47;835887.44;65420.37;42396.91;172.86;0;212001.08
V;30 t/m 34 jaar;ALPHEN AAN DEN RIJN;3253;3219.03;3285721.3;441622.64;829763.28;179587.37;125578.89;170027.91;112795.72;5623.75;29034.92;12885.53;3849.89;44197.44;742269.05;521290.27;39170.62;11206.75;55.04;18349.61;57966.58
V;30 t/m 34 jaar;ALPHEN-CHAAM;220;219.02;284012.23;74619.98;70638.42;12043.22;8685.31;6047.94;15768.41;1534.32;4212.06;1271.69;691.03;1449.74;56169.82;39184.12;3097.15;14034.82;0;0;29.94
V;30 t/m 34 jaar;ALTENA;1420;1415.13;1523995.62;196727.18;156959.55;79238.41;54381.35;50482.4;26739.64;14858.46;13125.4;5344.91;9915.75;11355.85;390021.29;258169.97;12416.6;22998.1;9.03;0;10682.19
V;30 t/m 34 jaar;AMELAND;113;111.27;179216.55;12718.73;87596.38;6187.9;4711.19;8092.6;1395.64;3031.38;0;87.6;13048.02;15995.98;28878.95;15415.86;0;443.34;134.16;0;396
